Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 811, Normal Time: 0.031, Slowdown Time: 0.111, Percentage Increase: 258.06451612903226%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 812, Normal Time: 0.001, Slowdown Time: 0.004, Percentage Increase: 300.0%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 813, Normal Time: 0.055, Slowdown Time: 0.053, Percentage Increase: -3.63636363636364%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 941, Normal Time: 0.004, Slowdown Time: 0.003, Percentage Increase: -25.0%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 814, Normal Time: 0.174, Slowdown Time: 0.191, Percentage Increase: 9.770114942528744%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 815, Normal Time: 0.039, Slowdown Time: 0.029, Percentage Increase: -25.64102564102564%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 838, Normal Time: 0.095, Slowdown Time: 0.154, Percentage Increase: 62.10526315789473%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 839, Normal Time: 0.085, Slowdown Time: 0.132, Percentage Increase: 55.29411764705882%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 840, Normal Time: 0.097, Slowdown Time: 0.183, Percentage Increase: 88.65979381443297%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 841, Normal Time: 0.006, Slowdown Time: 0.029, Percentage Increase: 383.3333333333333%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 842, Normal Time: 0.034, Slowdown Time: 0.059, Percentage Increase: 73.52941176470587%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 843, Normal Time: 0.028, Slowdown Time: 0.055, Percentage Increase: 96.42857142857143%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 847, Normal Time: 0.056, Slowdown Time: 0.055, Percentage Increase: -1.7857142857142874%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 848, Normal Time: 0.003, Slowdown Time: 0.005, Percentage Increase: 66.66666666666666%
Method: scala::collection::immutable::ChampBaseIterator::searchNextValueNode, Block ID: 849, Normal Time: 0.004, Slowdown Time: 0.003, Percentage Increase: -25.0%
