CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline,AsyncSamplesSlowdown,BuboPercentChange,AsyncPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent
161,1,json.JsonPureStringParser.readStringInternal(),9508053614,12963490896,63707,154255,36.34221495040888,142.13194782363004,63.91185127873263,60.59719199553736,189853,326466,71.95725113640553
170,2,json.JsonPureStringParser.readArray(),3448901712,5802992632,34632,77216,68.25624841117536,122.96142296142295,28.609577855483632,30.333362141437313,189853,326466,71.95725113640553
183,4,json.JsonPureStringParser.readObject(),926365814,1516907794,11684,23087,63.74824837825892,97.59500171174255,7.478570865783743,9.069445863025322,189853,326466,71.95725113640553
