comp_id,loop_id,samples,percentage,total_samples
190,1,275219,0.912026,30176661
190,2,142324,0.471636,30176661
207,0,1208987,4.006364,30176661
207,1,1345458,4.458605,30176661
207,2,576960,1.911941,30176661
207,11,433439,1.436339,30176661
207,12,307298,1.018330,30176661
207,13,467762,1.550079,30176661
212,0,360183,1.193581,30176661
235,1,61558,0.203992,30176661
