benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.util.Arrays.copyOf(Object[], int) line: 3478",,,4,5529,0.072346,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,3,3,5529,0.054259,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonObject$HashIndexTable.<init>(),,,3,5529,0.054259,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readNull(),,,3,5529,0.054259,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.readRequiredChar(String),,,3,5529,0.054259,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.String.hashCode() line: 2434,,,2,5529,0.036173,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"json.JsonObject$HashIndexTable.add(String, int)",,,2,5529,0.036173,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,som.Vector.append(Object),,,2,5529,0.036173,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,598,2,1,5529,0.018086,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.io.FileOutputStream.writeBytes(byte[], int, int, boolean)",,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.Math.round(float) line: 787,,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.invoke.DirectMethodHandle.internalMemberName(Object) line: 326,,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.nio.CharBuffer.<init>(int, int, int, int, char[], int, MemorySegment) line: 323",,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.internal.util.ReferencedKeyMap.getNoCheckStale(Object) line: 209,,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.jfr.internal.JDKEvents.emitInitialSecurityProperties() line: 233,,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.jfr.internal.JVM.emitEvent(long, long, long)",,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,jdk.jfr.internal.periodic.PeriodicEvents.doPeriodic() line: 117,,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonObject$HashIndexTable.stringHash(String),,,1,5529,0.018086,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,json.JsonPureStringParser.<init>(String),,,1,5529,0.018086,no_marker
