comp_id,method,loop_id,num_blocks_matched,total_normal_time,total_slowdown_time,median_pct_slowdown
214,LoopBenchmarks.editDistanceLoop,1,10,0.22,0.32299999999999995,46.8181818181818
214,LoopBenchmarks.editDistanceLoop,2,5,7.017999999999999,12.689,80.80649757765748
214,LoopBenchmarks.editDistanceLoop,3,1,0.014,0.01,-28.57142857142857
214,LoopBenchmarks.editDistanceLoop,4,2,0.022,0.018,-18.181818181818183
214,LoopBenchmarks.editDistanceLoop,5,1,0.017,0.028,64.70588235294117
214,LoopBenchmarks.editDistanceLoop,6,1,0.023,0.027,17.391304347826086
