tool,benchmark,method_key,baseline_samples,slowdown_samples,slowdown_pct,runtime_share_pct_slow,total_samples_baseline,total_samples_slowdown
jfr,LoopBenchmarks,LoopBenchmarks::base64EncodeLoop,229,464,102.62008733624455,4.9806784027479605,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::blurLoop,146,296,102.73972602739727,3.1773293258909403,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::bubbleSortLoop,528,1131,114.20454545454545,12.140403606698154,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::crc32Loop,914,1851,102.5164113785558,19.869042507513953,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::editDistanceLoop,612,1255,105.06535947712419,13.471446972949764,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::histogramLoop,240,400,66.66666666666666,4.293688278231,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::main,27,30,11.11111111111111,0.32202662086732503,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::mandelbrotLoop,183,179,-2.185792349726776,1.9214255045083728,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::matrixMultiplyLoop,297,667,124.5791245791246,7.159725203950193,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::monteCarloPiLoop,470,933,98.51063829787235,10.015027908973808,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::parseJsonLoop,410,702,71.21951219512195,7.5354229282954055,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::polynomialLoop,293,291,-0.6825938566552902,3.1236582224130527,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::raySphereLoop,232,466,100.86206896551724,5.002146844139115,4921,9316
jfr,LoopBenchmarks,LoopBenchmarks::sieveLoop,336,647,92.55952380952381,6.945040790038644,4921,9316
jfr,LoopBenchmarks,java.lang.String::substring,1,0,-100.0,0.0,4921,9316
jfr,LoopBenchmarks,java.lang.invoke.MethodType::makeImpl,1,0,-100.0,0.0,4921,9316
jfr,LoopBenchmarks,java.util.regex.Pattern$BmpCharPropertyGreedy::match,0,1,,0.010734220695577501,4921,9316
jfr,LoopBenchmarks,jdk.internal.classfile.impl.DirectClassBuilder::withMethod,1,0,-100.0,0.0,4921,9316
jfr,LoopBenchmarks,jdk.internal.classfile.impl.SplitConstantPool::maybeCloneUtf8Entry,1,0,-100.0,0.0,4921,9316
jfr,LoopBenchmarks,jdk.jfr.internal.PlatformRecorder::periodicTask,0,1,,0.010734220695577501,4921,9316
jfr,LoopBenchmarks,jdk.jfr.internal.consumer.EventLog::update,0,1,,0.010734220695577501,4921,9316
jfr,LoopBenchmarks,jdk.jfr.internal.periodic.PeriodicEvents::doPeriodic,0,1,,0.010734220695577501,4921,9316
