CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChangeSamples,BaselineSharePercent
161,0,947088,1980601,109.12533998952578,60.75968856977156
183,0,235760,456007,93.4200033932813,15.124998075373504
170,0,181345,398731,119.87427279494884,11.634046386064679
161,1,76555,204528,167.16478348899483,4.911326041992784
170,2,50482,90829,79.92353710233351,3.23863315592554
173,0,35998,82790,129.98499916662036,2.3094234845490984
183,5,16110,26305,63.2836747361887,1.0335244273594637
183,4,15406,27345,77.4957808645982,0.9883598589633705
