Level,CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline_BuboOn,AsyncSamplesSlowdown_BuboOn,BuboPercentChange,AsyncPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent,AsyncSamplesBaseline_BuboOff,AsyncSamplesSlowdown_BuboOff,AsyncPercentChange_NoBubo
50,140,2,Mandelbrot.mandelbrot(int)-Re-Comp,403997529868,600504206176,9335664,2758084,48.64056381042863,-70.45647743963364,92.59490362493781,66.43558642192394,284151,391712,37.85346523503348,8902992,2760312,-68.99568145180857
50,140,1,Mandelbrot.mandelbrot(int)-Re-Comp,65421726724,47041163674,1329984,1371395,-28.095502779288577,3.1136464799576538,7.253524574850914,33.03359543838925,284151,391712,37.85346523503348,172155,464610,169.87888821120504
