Level,CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChange
200,140,2,8881440,4777261,-46.21073834873624
200,140,1,164312,572276,248.28618725351768
200,139,2,18052,18121,0.3822291158874363
200,139,1,320,333,4.0625
200,140,0,231,863,273.5930735930736
