Level,CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline_BuboOn,AsyncSamplesSlowdown_BuboOn,BuboPercentChange,AsyncPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent
100,140,2,Mandelbrot.mandelbrot(int)-Re-Comp,405211537606,791480347166,9378470,3712048,95.32522490403059,-60.4194714063168,94.30224345868868,72.88379092910905,285915,506918,77.29674903380376
100,140,1,Mandelbrot.mandelbrot(int)-Re-Comp,67139289132,46825274762,1331501,1358992,-30.25652286854183,2.064662362251324,5.579075306717613,26.682976298348454,285915,506918,77.29674903380376
