Level,CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChange
150,140,2,8918528,4764915,-46.57285372653425
150,140,1,173158,540037,211.87528153478326
150,139,2,18107,18163,0.30927265698348705
150,139,1,327,284,-13.149847094801222
150,140,0,239,1280,435.56485355648533
