Level,CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChange
50,140,2,8902992,2760312,-68.99568145180857
50,140,1,172155,464610,169.87888821120504
50,139,2,18033,17987,-0.25508789441579327
50,139,1,317,323,1.8927444794952681
50,140,0,267,548,105.24344569288388
