CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChangeSamples,BaselineSharePercent
175,0,2782316,5402244,94.16356733023855,96.6960266686685
178,3,60260,97812,62.3166279455692,2.0942634003664438
178,0,24216,34462,42.310868847043274,0.8415977846543944
178,1,10592,14625,38.075906344410875,0.3681121463106766
