comp_id,method,node,loop_id
206,java.util.Properties$LineReader.readLine,b144,0
206,java.util.Properties$LineReader.readLine,b145,0
206,java.util.Properties$LineReader.readLine,b147,0
206,java.util.Properties$LineReader.readLine,b150,0
206,java.util.Properties$LineReader.readLine,b151,0
206,java.util.Properties$LineReader.readLine,b152,0
206,java.util.Properties$LineReader.readLine,b154,0
207,java.util.Properties$LineReader.readLine,b1,0
207,java.util.Properties$LineReader.readLine,b2,0
207,java.util.Properties$LineReader.readLine,b3,0
207,java.util.Properties$LineReader.readLine,b4,0
207,java.util.Properties$LineReader.readLine,b5,0
207,java.util.Properties$LineReader.readLine,b6,0
207,java.util.Properties$LineReader.readLine,b7,0
207,java.util.Properties$LineReader.readLine,b8,0
207,java.util.Properties$LineReader.readLine,b9,0
207,java.util.Properties$LineReader.readLine,b10,0
207,java.util.Properties$LineReader.readLine,b12,0
207,java.util.Properties$LineReader.readLine,b14,0
207,java.util.Properties$LineReader.readLine,b15,0
207,java.util.Properties$LineReader.readLine,b16,0
207,java.util.Properties$LineReader.readLine,b17,0
207,java.util.Properties$LineReader.readLine,b19,0
207,java.util.Properties$LineReader.readLine,b20,0
207,java.util.Properties$LineReader.readLine,b21,0
207,java.util.Properties$LineReader.readLine,b22,0
207,java.util.Properties$LineReader.readLine,b23,0
207,java.util.Properties$LineReader.readLine,b24,1
207,java.util.Properties$LineReader.readLine,b25,1
207,java.util.Properties$LineReader.readLine,b26,1
207,java.util.Properties$LineReader.readLine,b27,1
207,java.util.Properties$LineReader.readLine,b31,1
207,java.util.Properties$LineReader.readLine,b32,1
207,java.util.Properties$LineReader.readLine,b33,2
207,java.util.Properties$LineReader.readLine,b34,2
207,java.util.Properties$LineReader.readLine,b35,0
207,java.util.Properties$LineReader.readLine,b37,2
207,java.util.Properties$LineReader.readLine,b38,0
207,java.util.Properties$LineReader.readLine,b39,1
207,java.util.Properties$LineReader.readLine,b40,1
207,java.util.Properties$LineReader.readLine,b42,1
207,java.util.Properties$LineReader.readLine,b44,0
207,java.util.Properties$LineReader.readLine,b45,0
207,java.util.Properties$LineReader.readLine,b47,0
207,java.util.Properties$LineReader.readLine,b48,0
207,java.util.Properties$LineReader.readLine,b49,0
207,java.util.Properties$LineReader.readLine,b50,0
207,java.util.Properties$LineReader.readLine,b52,0
207,java.util.Properties$LineReader.readLine,b53,0
207,java.util.Properties$LineReader.readLine,b54,0
207,java.util.Properties$LineReader.readLine,b57,0
207,java.util.Properties$LineReader.readLine,b58,0
207,java.util.Properties$LineReader.readLine,b60,0
207,java.util.Properties$LineReader.readLine,b61,0
207,java.util.Properties$LineReader.readLine,b62,0
207,java.util.Properties$LineReader.readLine,b63,0
207,java.util.Properties$LineReader.readLine,b64,0
207,java.util.Properties$LineReader.readLine,b65,3
207,java.util.Properties$LineReader.readLine,b66,3
207,java.util.Properties$LineReader.readLine,b67,0
207,java.util.Properties$LineReader.readLine,b68,0
207,java.util.Properties$LineReader.readLine,b69,0
207,java.util.Properties$LineReader.readLine,b70,0
207,java.util.Properties$LineReader.readLine,b72,0
207,java.util.Properties$LineReader.readLine,b75,0
207,java.util.Properties$LineReader.readLine,b76,0
207,java.util.Properties$LineReader.readLine,b77,0
207,java.util.Properties$LineReader.readLine,b78,0
207,java.util.Properties$LineReader.readLine,b79,0
207,java.util.Properties$LineReader.readLine,b81,0
208,java.util.Properties.loadConvert,b30,0
208,java.util.Properties.loadConvert,b31,0
208,java.util.Properties.loadConvert,b33,0
208,java.util.Properties.loadConvert,b50,1
208,java.util.Properties.loadConvert,b51,1
209,java.util.Properties.loadConvert,b12,0
209,java.util.Properties.loadConvert,b13,0
209,java.util.Properties.loadConvert,b15,0
209,java.util.Properties.loadConvert,b31,1
209,java.util.Properties.loadConvert,b32,1
220,java.lang.StringLatin1.indexOfChar,b12,0
220,java.lang.StringLatin1.indexOfChar,b13,0
220,java.lang.StringLatin1.indexOfChar,b14,0
227,java.lang.StringUTF16.compress,b37,0
227,java.lang.StringUTF16.compress,b38,0
227,java.lang.StringUTF16.compress,b39,0
228,java.lang.StringUTF16.compress,b16,0
228,java.lang.StringUTF16.compress,b17,0
228,java.lang.StringUTF16.compress,b18,0
229,java.util.Properties.loadConvert,b30,0
229,java.util.Properties.loadConvert,b31,0
229,java.util.Properties.loadConvert,b33,0
229,java.util.Properties.loadConvert,b50,1
229,java.util.Properties.loadConvert,b51,1
230,java.util.Properties.loadConvert,b12,0
230,java.util.Properties.loadConvert,b13,0
230,java.util.Properties.loadConvert,b15,0
230,java.util.Properties.loadConvert,b31,1
230,java.util.Properties.loadConvert,b32,1
244,java.lang.StringCoding.countNonZeroAsciiLatin1,b12,0
244,java.lang.StringCoding.countNonZeroAsciiLatin1,b13,0
244,java.lang.StringCoding.countNonZeroAsciiLatin1,b15,0
247,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b27,0
247,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b28,0
247,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b29,0
247,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b31,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b11,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b12,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b13,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b14,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b16,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b17,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b18,0
248,jdk.internal.jimage.ImageStringsReader.unmaskedHashCode,b20,0
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b18,0
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b19,0
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b21,1
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b22,1
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b24,2
270,jdk.internal.util.ArraysSupport.vectorizedHashCode,b25,2
279,java.util.jar.JarFile.match,b42,2
279,java.util.jar.JarFile.match,b44,2
279,java.util.jar.JarFile.match,b45,2
279,java.util.jar.JarFile.match,b46,2
279,java.util.jar.JarFile.match,b47,2
279,java.util.jar.JarFile.match,b48,2
279,java.util.jar.JarFile.match,b49,2
279,java.util.jar.JarFile.match,b50,2
279,java.util.jar.JarFile.match,b51,2
279,java.util.jar.JarFile.match,b52,2
279,java.util.jar.JarFile.match,b66,0
279,java.util.jar.JarFile.match,b67,0
279,java.util.jar.JarFile.match,b68,1
279,java.util.jar.JarFile.match,b70,1
279,java.util.jar.JarFile.match,b71,1
279,java.util.jar.JarFile.match,b72,1
279,java.util.jar.JarFile.match,b73,1
279,java.util.jar.JarFile.match,b74,1
279,java.util.jar.JarFile.match,b75,1
279,java.util.jar.JarFile.match,b76,1
279,java.util.jar.JarFile.match,b77,1
279,java.util.jar.JarFile.match,b78,1
279,java.util.jar.JarFile.match,b79,0
279,java.util.jar.JarFile.match,b80,0
279,java.util.jar.JarFile.match,b81,0
279,java.util.jar.JarFile.match,b82,0
280,java.util.jar.JarFile.match,b1,0
280,java.util.jar.JarFile.match,b2,0
280,java.util.jar.JarFile.match,b3,1
280,java.util.jar.JarFile.match,b5,1
280,java.util.jar.JarFile.match,b6,1
280,java.util.jar.JarFile.match,b7,1
280,java.util.jar.JarFile.match,b8,1
280,java.util.jar.JarFile.match,b9,1
280,java.util.jar.JarFile.match,b10,1
280,java.util.jar.JarFile.match,b11,1
280,java.util.jar.JarFile.match,b12,1
280,java.util.jar.JarFile.match,b13,1
280,java.util.jar.JarFile.match,b14,0
280,java.util.jar.JarFile.match,b15,0
280,java.util.jar.JarFile.match,b16,0
280,java.util.jar.JarFile.match,b17,0
284,java.util.jar.Manifest$FastInputStream.readLine,b3,0
284,java.util.jar.Manifest$FastInputStream.readLine,b4,0
284,java.util.jar.Manifest$FastInputStream.readLine,b5,0
