Method: __memset_avx2_unaligned_erms, Block ID: 1, Normal Time: 0.019, Slowdown Time: 0.006, Percentage Increase: -68.42105263157895%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 818, Normal Time: 0.028, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 819, Normal Time: 0.009, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 820, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 822, Normal Time: 0.266, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 827, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 828, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 829, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 837, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 839, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 843, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 844, Normal Time: 0.3, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 845, Normal Time: 0.01, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 846, Normal Time: 0.005, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 847, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 849, Normal Time: 0.004, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 850, Normal Time: 0.008, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 851, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 852, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 853, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 854, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 855, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 856, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 857, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 861, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 862, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 863, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 867, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
