tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::base64EncodeLoop,463,9337,4.958766198993253
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::blurLoop,297,9337,3.18089322052051
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::bubbleSortLoop,1130,9337,12.102388347434937
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::crc32Loop,1854,9337,19.856484952340153
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::editDistanceLoop,1257,9337,13.46256827674842
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::histogramLoop,399,9337,4.273321195244725
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::main,30,9337,0.3213023455071222
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::mandelbrotLoop,181,9337,1.9385241512263038
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::matrixMultiplyLoop,680,9337,7.2828531648281025
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::monteCarloPiLoop,932,9337,9.981792867087929
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::parseJsonLoop,707,9337,7.5720252757845135
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::polynomialLoop,291,9337,3.1166327514190852
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::raySphereLoop,460,9337,4.92663596444254
jfr,LoopBenchmarks,slowdown,LoopBenchmarks::sieveLoop,656,9337,7.025811288422405
