tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::base64EncodeLoop,230,4923,4.671947999187488
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::blurLoop,147,4923,2.9859841560024374
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::bubbleSortLoop,528,4923,10.725167580743449
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::crc32Loop,916,4923,18.606540727198862
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::editDistanceLoop,612,4923,12.431444241316271
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::histogramLoop,240,4923,4.875076173065204
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::main,36,4923,0.7312614259597806
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::mandelbrotLoop,172,4923,3.493804590696729
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::matrixMultiplyLoop,297,4923,6.032906764168191
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::monteCarloPiLoop,473,4923,9.607962624416007
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::parseJsonLoop,408,4923,8.287629494210847
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::polynomialLoop,294,4923,5.971968312004875
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::raySphereLoop,231,4923,4.692260816575259
jfr,LoopBenchmarks,noSlow,LoopBenchmarks::sieveLoop,337,4923,6.845419459679057
jfr,LoopBenchmarks,noSlow,java.util.HashMap::putVal,1,4923,0.020312817387771683
jfr,LoopBenchmarks,noSlow,java.util.Properties$LineReader::readLine,1,4923,0.020312817387771683
