benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Json,4476141,6729918

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
java.lang.String.hashCode,3,48231,3,1092826,1044595,2165.8165909891977
json.JsonPureStringParser.subStringFromTo,3,45511,3,426355,380844,836.817472698908
java.lang.AbstractStringBuilder.<init>,3,56335,3,435835,379500,673.6487086180882
json.JsonPureStringParser.readStringInternal,3,142762,3,410723,267961,187.697706672644
json.JsonPureStringParser.readNumber,3,19590,3,120980,101390,517.559979581419
som.Vector.<init>,3,97307,3,177871,80564,82.79363252386776
json.JsonPureStringParser.readChar,3,22940,3,103079,80139,349.3417611159546
java.lang.String.equals,3,1653441,3,1624580,-28861,-1.745511330612946
json.JsonPureStringParser.isWhiteSpace,3,80329,3,104559,24230,30.163452800358527
json.JsonPureStringParser.endCapture,3,55002,3,34594,-20408,-37.104105305261626
jdk.internal.util.Preconditions.checkIndex,3,47384,3,27169,-20215,-42.66208002701334
json.JsonObject$HashIndexTable.<init>,3,8702,3,28705,20003,229.86669731096302
java.lang.Object.clone,3,48570,3,28916,-19654,-40.46530780317068
java.lang.StringLatin1.toBytes,3,466519,3,447456,-19063,-4.08622156868209
java.lang.AbstractStringBuilder.needsNewBuffer,3,36446,3,21882,-14564,-39.9604894913022
java.lang.StringLatin1.charAt,3,29882,3,36162,6280,21.015996251924236
java.lang.String.valueOf,3,297675,3,303814,6139,2.0623162845385066
java.lang.StringBuilder.toString,3,26437,3,21458,-4979,-18.83345311495253
jbyte_disjoint_arraycopy,3,61901,3,57097,-4804,-7.760779308896463
json.JsonPureStringParser.readArray,3,45695,3,41733,-3962,-8.670532881059197
java.lang.String.isLatin1,3,33987,3,30469,-3518,-10.351016565157266
java.util.Arrays.copyOfRange,3,1005,3,4204,3199,318.30845771144277
java.lang.AbstractStringBuilder.append,3,47971,3,45626,-2345,-4.888370056909383
json.JsonPureStringParser.isDigit,3,72325,3,74662,2337,3.2312478396128586
