benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Bounce,7534390,8911692

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
Bounce.benchmark,3,1947972,3,2355654,407682,20.928534907072585
Bounce$Ball.bounce,3,4777254,3,5120330,343076,7.181447752202416
java.util.Arrays.setAll,3,74785,3,102187,27402,36.64103764123821
java.lang.Integer.valueOf,3,2782,3,16096,13314,478.57656362329266
Bounce.lambda$benchmark$0,3,98890,3,107704,8814,8.912933562544241
java.lang.Math.abs,3,292433,3,286088,-6345,-2.1697277667021164
som.Random.next,3,57914,3,63794,5880,10.15298546120109
Bounce$Ball.<init>,3,216135,3,220893,4758,2.2014019015892847
Benchmark.innerBenchmarkLoop,3,2840,3,5608,2768,97.46478873239437
jdk.internal.misc.Unsafe.allocateInstance,3,745,3,1403,658,88.32214765100672
__futex_abstimed_wait_common,3,373,3,461,88,23.59249329758713
__memset_avx2_unaligned_erms,3,566,3,648,82,14.487632508833922
G1HeapRegionManager::par_iterate,3,728,3,801,73,10.027472527472527
Bounce.verifyResult,3,2964,3,3024,60,2.0242914979757085
java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,3,338,3,387,49,14.497041420118343
__audit_syscall_exit_[k],3,172,3,212,40,23.25581395348837
MemAllocator::mem_allocate_inside_tlab_slow,3,108,3,147,39,36.11111111111111
java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,3,186,3,225,39,20.967741935483872
Run.measure,3,117,3,148,31,26.495726495726498
__new_sem_wait_slow64.constprop.0,3,95,3,126,31,32.631578947368425
__clock_gettime_2,3,108,3,138,30,27.77777777777778
__do_softirq_[k],1,61,1,90,29,47.540983606557376
G1ConcurrentMark::clear_statistics,3,93,3,121,28,30.107526881720432
clear_page_erms_[k],3,166,3,193,27,16.265060240963855
sun.nio.cs.UTF_8$Encoder.encodeArrayLoop,3,89,3,116,27,30.337078651685395
java.util.HashMap$Node* java.util.HashMap::getNode,3,62,3,87,25,40.32258064516129
"G1ParCopyClosure<(G1Barrier)0, false>::do_oop",3,110,3,134,24,21.818181818181817
blkcg_maybe_throttle_current_[k],3,275,3,251,-24,-8.727272727272728
int org.graalvm.collections.EconomicMapImpl::findLinear,3,241,3,265,24,9.95850622406639
syscall_enter_from_user_mode_[k],3,291,3,315,24,8.24742268041237
"void WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>",3,230,3,254,24,10.434782608695652
SpinPause,3,181,3,158,-23,-12.70718232044199
os::elapsed_counter,1,50,3,73,23,46.0
void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::visitEach,3,127,3,150,23,18.11023622047244
"AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<598116ul, G1BarrierSet>, (AccessInternal::BarrierType)2, 598116ul>::oop_access_barrier",3,59,3,81,22,37.28813559322034
G1CollectedHeap::fill_with_dummy_object,2,75,3,95,20,26.666666666666668
futex_q_lock_[k],3,69,3,89,20,28.985507246376812
rseq_ip_fixup_[k],3,78,3,58,-20,-25.64102564102564
java.io.BufferedWriter.write,3,107,3,126,19,17.75700934579439
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,3,191,3,210,19,9.947643979057592
G1Allocator::unsafe_max_tlab_alloc,3,99,1,81,-18,-18.181818181818183
__get_user_8_[k],3,147,3,165,18,12.244897959183673
exit_to_user_mode_loop_[k],3,217,3,199,-18,-8.294930875576037
java.lang.StringLatin1.inflate,2,58,3,76,18,31.03448275862069
pthread_mutex_lock@@GLIBC_2.2.5,3,118,3,136,18,15.254237288135593
G1CollectedHeap::attempt_allocation_slow,3,66,2,83,17,25.757575757575758
