benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Mandelbrot,8446398,10823012

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
mm_account_fault_[k],2,31,3,43,12,38.70967741935484
sun.nio.cs.StreamEncoder.writeBytes,3,44,3,56,12,27.27272727272727
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::getAndAdvanceInput,3,67,3,78,11,16.417910447761194
clear_page_erms_[k],3,168,3,179,11,6.547619047619048
sun.nio.cs.StreamEncoder.implWrite,3,57,3,68,11,19.298245614035086
sun.nio.cs.UTF_8$Encoder.encodeArrayLoop,3,73,3,62,-11,-15.068493150684931
void LibGraalClassLoader_6d026701::jdk.graal.compiler.core.common.util.CompilationAlarm::checkProgress,3,62,3,51,-11,-17.741935483870968
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::scheduleEarliestIterative,3,66,3,55,-11,-16.666666666666664
ThreadInVMfromNative::ThreadInVMfromNative,1,42,1,32,-10,-23.809523809523807
boolean java.lang.String::startsWith,3,60,3,50,-10,-16.666666666666664
java.lang.StringConcatHelper.prepend,3,56,3,46,-10,-17.857142857142858
java.util.Properties$LineReader.readLine,3,50,3,60,10,20.0
void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,3,138,3,148,10,7.246376811594203
void java.util.ArrayDeque::addLast,3,47,3,37,-10,-21.27659574468085
Dictionary::find_class,3,72,3,63,-9,-12.5
LibGraalClassLoader_6d026701::jdk.graal.compiler.core.common.cfg.BlockMap* LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::calcLatestBlocks,1,31,1,40,9,29.03225806451613
SymbolTable::do_lookup,3,36,3,45,9,25.0
__clock_gettime_2,3,35,3,44,9,25.71428571428571
__memset_avx2_unaligned_erms,3,61,3,52,-9,-14.754098360655737
java.lang.Object* org.graalvm.collections.EconomicMapImpl::get,3,49,3,58,9,18.367346938775512
java.lang.Object[]* java.util.ArrayList::grow,3,36,3,45,9,25.0
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.loop.LoopFragment::markFloating,3,41,3,50,9,21.951219512195124
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::sortNodesLatestWithinBlock,3,40,3,49,9,22.5
void org.graalvm.collections.EconomicMapImpl::putHashEntry,3,45,3,36,-9,-20.0
