benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
NBody,7159917,7221243

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
nbody.NBodySystem.advance,3,5199830,3,5249828,49998,0.9615314346815184
NBody.innerBenchmarkLoop,3,24151,3,48855,24704,102.2897602583744
nbody.Body.getVX,3,98594,3,119789,21195,21.497251354037772
nbody.Body.getZ,3,284179,3,305350,21171,7.449881940607857
nbody.Body.getX,3,248270,3,227796,-20474,-8.246666935191525
nbody.Body.getY,3,68686,3,48906,-19780,-28.797717147599222
nbody.Body.getMass,3,27077,3,7541,-19536,-72.14979502899139
java.lang.Math.sqrt,3,306504,3,290490,-16014,-5.224727899146504
nbody.Body.setVX,3,237814,3,239318,1504,0.6324270227993306
nbody.Body.getVZ,3,188969,3,187935,-1034,-0.5471796961406368
nbody.Body.setY,3,23897,3,24328,431,1.8035736703351883
nbody.Body.setVZ,3,175870,3,175694,-176,-0.10007391823506
nbody.Body.getVY,3,113109,3,113211,102,0.09017850038458478
nbody.Body.setVY,3,28069,3,27967,-102,-0.3633902169653354
nbody.Body.setX,3,24270,3,24175,-95,-0.3914297486608982
do_user_addr_fault_[k],3,620,3,578,-42,-6.774193548387098
java.util.HashMap$Node* java.util.HashMap::getNode,3,56,3,98,42,75.0
java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,3,333,3,373,40,12.012012012012011
nbody.Body.setZ,3,72145,3,72111,-34,-0.04712731305010742
char java.lang.String::charAt,3,73,3,104,31,42.465753424657535
void java.util.ArrayList::add,3,164,3,194,30,18.29268292682927
java.lang.Object* com.oracle.svm.core.graal.jdk.SubstrateObjectCloneSnippets::doClone,3,147,3,176,29,19.727891156462583
boolean org.graalvm.collections.EconomicMapImpl::compareKeys,3,151,3,178,27,17.880794701986755
next_uptodate_page_[k],3,175,3,202,27,15.428571428571427
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.CanonicalizerPhase::tryCanonicalize,3,98,3,124,26,26.53061224489796
void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,3,326,3,350,24,7.361963190184049
void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::visitEach,3,154,3,177,23,14.935064935064934
__list_del_entry_valid_[k],3,88,3,110,22,25.0
boolean com.oracle.svm.core.code.IsolateEnterStub::JNIFunctions_ExceptionCheck_wwAepBoMjPEWDN8NR0UL5D,3,102,3,123,21,20.588235294117645
clear_page_erms_[k],3,157,3,178,21,13.375796178343949
int java.nio.Buffer::nextGetIndex,3,69,3,90,21,30.434782608695656
int org.graalvm.collections.EconomicMapImpl::findHash,3,168,3,189,21,12.5
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeMap::set,3,103,3,124,21,20.388349514563107
void com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue::leave,3,154,3,175,21,13.636363636363635
_raw_spin_unlock_irqrestore_[k],3,192,3,172,-20,-10.416666666666668
int LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeIdAccessor::getNodeId,3,275,3,294,19,6.909090909090909
void sun.security.provider.SHA2::implCompress0,3,126,3,145,19,15.079365079365079
__handle_mm_fault_[k],3,48,3,66,18,37.5
blk_cgroup_congested_[k],3,47,3,64,17,36.17021276595745
boolean java.lang.String::equals,3,52,3,69,17,32.69230769230769
java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,3,207,3,224,17,8.212560386473431
[vdso],3,90,3,106,16,17.77777777777778
__memcpy_avx_unaligned_erms,3,100,3,84,-16,-16.0
c2v_notifyCompilerPhaseEvent,1,39,3,55,16,41.02564102564102
JVMCIEnv::has_pending_exception,3,59,3,74,15,25.423728813559322
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::getAndAdvanceInput,3,147,3,162,15,10.204081632653061
void com.oracle.svm.core.genscavenge.remset.AlignedChunkRememberedSet::walkObjects,3,45,3,60,15,33.33333333333333
LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.FixedNode* LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.AbstractBeginNode$BlockNodeIterator::next,3,98,3,112,14,14.285714285714285
__fpu_restore_sig_[k],1,18,1,32,14,77.77777777777779
int jdk.internal.util.ArraysSupport::hashCodeOfUnsigned,3,58,3,44,-14,-24.137931034482758
mtree_range_walk_[k],3,57,3,71,14,24.561403508771928
vma_alloc_folio_[k],1,36,2,50,14,38.88888888888889
java.lang.Object* org.graalvm.collections.EconomicMapImpl::put,3,192,3,179,-13,-6.770833333333333
java.lang.String::String,3,46,3,59,13,28.26086956521739
sun.nio.cs.StreamEncoder.writeBytes,3,41,3,54,13,31.70731707317073
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::calcLatestBlock,2,37,1,50,13,35.13513513513514
void org.graalvm.collections.EconomicMapImpl::putHashEntry,3,100,3,87,-13,-13.0
__audit_syscall_exit_[k],3,48,2,36,-12,-25.0
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeMap::get,3,113,3,125,12,10.619469026548673
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.options.OptionValues::get,3,92,3,80,-12,-13.043478260869565
void LibGraalClassLoader_6d026701::jdk.graal.compiler.core.common.CompilationListenerProfiler$1::close,1,39,1,51,12,30.76923076923077
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeUsageIterator::advance,3,224,3,236,12,5.357142857142857
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeBitMap::isMarked,3,164,3,175,11,6.707317073170732
com.oracle.svm.core.jni.headers.JNIObjectHandle com.oracle.svm.core.jni.JNIObjectHandles::createLocal,2,41,2,52,11,26.82926829268293
filldir64_[k],3,76,3,87,11,14.473684210526317
int org.graalvm.collections.EconomicMapImpl::getHashArray,3,110,3,121,11,10.0
int org.graalvm.collections.EconomicMapImpl::getHashTableSize,3,115,3,104,-11,-9.565217391304348
java.lang.Object* com.oracle.svm.core.genscavenge.ThreadLocalAllocation::allocateArraySlow,3,46,3,57,11,23.91304347826087
memchr_[k],3,112,3,123,11,9.821428571428571
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable::and,3,42,2,52,10,23.809523809523807
byte[]* java.util.Arrays::copyOfRange,3,56,3,66,10,17.857142857142858
get_mem_cgroup_from_mm_[k],3,87,3,77,-10,-11.494252873563218
java.lang.Object[]* java.util.ArrayList::grow,3,53,3,63,10,18.867924528301888
java.lang.Object[]* java.util.Arrays::copyOf,3,58,3,68,10,17.24137931034483
org.graalvm.word.Pointer com.oracle.svm.core.genscavenge.TlabSupport::allocateRawMemoryInTlabSlow,3,52,3,62,10,19.230769230769234
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeWorkList$QueueConsumingIterator::dropDeleted,3,114,3,104,-10,-8.771929824561402
zap_pte_range_[k],3,50,3,60,10,20.0
