benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
LoopBenchmarks,7379904,9010321

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
LoopBenchmarks.mandelbrotLoop,3,247520,3,774515,526995,212.91006787330318
LoopBenchmarks.editDistanceLoop,3,844785,3,1151310,306525,36.28438004936167
LoopBenchmarks.matrixMultiplyLoop,3,409551,3,493998,84447,20.619410036845228
LoopBenchmarks.histogramLoop,3,315021,3,349262,34241,10.86943410121865
LoopBenchmarks.parseJsonLoop,3,550879,3,520943,-29936,-5.434224212576628
LoopBenchmarks.sieveLoop,3,466550,3,478183,11633,2.4934090665523523
LoopBenchmarks.polynomialLoop,3,389496,3,398131,8635,2.2169675683447325
LoopBenchmarks.crc32Loop,3,1248259,3,1254928,6669,0.5342641230706128
LoopBenchmarks.base64EncodeLoop,3,311707,3,305489,-6218,-1.994822060460625
LoopBenchmarks.bubbleSortLoop,3,702723,3,707999,5276,0.7507936982281781
LoopBenchmarks.fibonacciLoop,3,579396,3,583486,4090,0.7059075312912066
LoopBenchmarks.blurLoop,3,201573,3,205455,3882,1.9258531648583888
LoopBenchmarks.monteCarloPiLoop,3,624111,3,627991,3880,0.6216842837251707
LoopBenchmarks.raySphereLoop,3,325730,3,322077,-3653,-1.1214809811807325
LoopBenchmarks.main,3,34869,3,35058,189,0.5420287361266455
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,3,1134,3,1269,135,11.904761904761903
java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,3,1295,3,1387,92,7.104247104247103
void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::visitEach,3,546,3,633,87,15.934065934065933
java.lang.Object* com.oracle.svm.core.graal.jdk.SubstrateObjectCloneSnippets::doClone,3,519,3,588,69,13.294797687861271
java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,3,597,3,665,68,11.390284757118927
void com.oracle.svm.core.UnmanagedMemoryUtil::copyForward,3,561,3,627,66,11.76470588235294
void com.oracle.svm.core.JavaMemoryUtil::copyPrimitiveArrayForward,3,476,3,538,62,13.025210084033615
java.util.Iterator* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable::iterator,3,172,3,232,60,34.883720930232556
void com.oracle.svm.core.graal.jdk.SubstrateArraycopySnippets::doArraycopy,3,1056,3,1111,55,5.208333333333334
boolean java.util.RegularEnumSet::contains,3,392,3,443,51,13.010204081632654
int LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeIdAccessor::getNodeId,3,959,3,1010,51,5.318039624608968
void sun.security.provider.SHA2::implCompress0,3,466,3,516,50,10.72961373390558
mtree_range_walk_[k],3,417,3,465,48,11.510791366906476
java.util.HashMap$Node* java.util.HashMap::getNode,3,217,3,264,47,21.658986175115206
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.options.OptionValues::get,3,419,3,373,-46,-10.978520286396181
byte[]* java.util.Arrays::copyOfRange,3,232,3,277,45,19.396551724137932
void java.util.ArrayDeque::addLast,3,318,3,362,44,13.836477987421384
java.lang.Object[]* java.util.ArrayList::grow,3,271,3,314,43,15.867158671586715
JVMCIEnv::has_pending_exception,3,201,3,242,41,20.398009950248756
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::getAndAdvanceInput,3,647,3,609,-38,-5.873261205564142
[vdso],3,198,3,235,37,18.68686868686869
void java.util.ArrayList::add,3,762,3,796,34,4.4619422572178475
__list_del_entry_valid_[k],3,747,3,714,-33,-4.417670682730924
void com.oracle.svm.core.monitor.MultiThreadedMonitorSupport::monitorEnter,3,160,3,192,32,20.0
clear_page_erms_[k],3,1231,3,1200,-31,-2.518277822908205
void java.lang.String::getBytes,1,145,1,175,30,20.689655172413794
java.lang.Object* org.graalvm.collections.EconomicMapImpl::put,3,612,3,641,29,4.738562091503268
G1ParScanThreadState::trim_queue_to_threshold,3,1138,3,1110,-28,-2.460456942003515
__alloc_pages_[k],3,159,3,187,28,17.61006289308176
java.lang.Object* java.util.concurrent.ConcurrentHashMap::get,3,216,3,188,-28,-12.962962962962962
void LibGraalClassLoader_6d026701::jdk.graal.compiler.java.LocalLiveness::computeLiveness,3,153,2,181,28,18.30065359477124
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.ControlFlowGraph::rpoInnerLoopsFirst,3,176,3,203,27,15.340909090909092
int org.graalvm.collections.EconomicMapImpl::findHash,3,472,3,499,27,5.720338983050848
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.TypedGraphNodeIterator::forward,3,301,3,328,27,8.970099667774086
boolean java.lang.String::equals,3,222,3,248,26,11.711711711711711
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node::addUsage,3,303,3,328,25,8.25082508250825
void com.oracle.svm.core.util.ArrayUtil::boundsCheckInSnippet,3,182,3,207,25,13.736263736263737
boolean org.graalvm.collections.EconomicMapImpl::compareKeys,3,612,3,636,24,3.9215686274509802
charge_memcg_[k],3,401,3,377,-24,-5.985037406483791
do_user_addr_fault_[k],3,3810,3,3786,-24,-0.6299212598425197
java.lang.Object* java.util.ArrayList$Itr::next,3,440,3,463,23,5.227272727272727
syscall_enter_from_user_mode_[k],1,120,3,143,23,19.166666666666668
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass::registerAtInputsAsUsage,3,222,3,245,23,10.36036036036036
LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance$MicroBlock* LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::processInputs,3,350,3,328,-22,-6.2857142857142865
__mod_node_page_state_[k],3,188,3,166,-22,-11.702127659574469
char java.lang.StringLatin1::charAt,3,175,3,197,22,12.571428571428573
folio_add_lru_[k],3,199,3,177,-22,-11.055276381909549
int java.nio.Buffer::nextGetIndex,3,256,3,278,22,8.59375
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeWorkList$QueueConsumingIterator::dropDeleted,3,512,3,490,-22,-4.296875
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::scheduleEarliestIterative,3,332,3,310,-22,-6.626506024096386
InstanceKlass::find_method_index,3,366,3,387,21,5.737704918032787
_raw_spin_unlock_irqrestore_[k],3,861,3,882,21,2.4390243902439024
char java.lang.String::charAt,3,226,3,247,21,9.29203539823009
handle_mm_fault_[k],3,202,3,181,-21,-10.396039603960396
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeUsageIterator::advance,3,763,3,784,21,2.7522935779816518
java.lang.Object* java.util.ArrayList::get,3,306,3,326,20,6.535947712418301
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.loop.LoopFragment::markFloating,3,287,3,267,-20,-6.968641114982578
void com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue::leave,3,558,3,578,20,3.584229390681003
void org.graalvm.collections.EconomicMapImpl::grow,3,155,3,175,20,12.903225806451612
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::next,3,168,3,187,19,11.30952380952381
int org.graalvm.collections.EconomicMapImpl::getHashArray,3,322,3,303,-19,-5.900621118012422
next_uptodate_page_[k],3,472,3,491,19,4.025423728813559
org.graalvm.nativeimage.ObjectHandle com.oracle.svm.core.handles.ThreadLocalHandles::tryCreateNonNull,3,350,3,369,19,5.428571428571429
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass::registerAtSuccessorsAsPredecessor,3,154,3,173,19,12.337662337662337
void LibGraalClassLoader_6d026701::jdk.graal.compiler.java.BytecodeParser::processBytecode,3,156,3,175,19,12.179487179487179
int org.graalvm.collections.EconomicMapImpl::findLinear,3,1171,3,1189,18,1.5371477369769428
memchr_[k],3,203,3,185,-18,-8.866995073891626
void LibGraalClassLoader_6d026701::jdk.graal.compiler.debug.GraalError::guarantee,3,216,3,234,18,8.333333333333332
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.TypedGraphNodeIterator::findNext,3,152,1,169,17,11.18421052631579
