benchmark,loop_key,baseline_samples,slowdown_samples,slowdown_pct,runtime_share_pct,total_samples_slowdown,prog_slowdown_noBubo_pct
Sieve,Run.measure | Marker3/MarkerDelimiter/Marker7/Marker8/Marker1,5622277,14118976,151.12558488313545,54.120001869038724,26088277,118.3139920424403
List,Run.measure | Marker0/MarkerDelimiter/Marker8/Marker8/Marker1,6969,0,-100.0,0.0,38980665,102.11888855675049
CD,cd.CollisionDetector.handleNewFrame | Marker3/MarkerDelimiter/Marker8/Marker1/Marker2,32786,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker4/MarkerDelimiter/Marker7/Marker0/Marker2,0,93623,inf,0.6292126222916397,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker2/MarkerDelimiter/Marker1/Marker0/Marker2,0,25407,inf,0.1707529676955843,14879390,85.22077447319634
CD,CD.benchmark | Marker0/MarkerDelimiter/Marker2/Marker1/Marker2,0,19981,inf,0.13428641899970362,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker8/Marker1/Marker2,219993,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker0/MarkerDelimiter/Marker0/Marker5/Marker2,228631,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker3/MarkerDelimiter/Marker1/Marker0/Marker2,0,60868,inf,0.40907590969791097,14879390,85.22077447319634
CD,cd.RedBlackTree.put | Marker0/MarkerDelimiter/Marker2/Marker7/Marker1,0,3372317,inf,22.66434981541582,14879390,85.22077447319634
CD,cd.RedBlackTree.forEach | Marker0/MarkerDelimiter/Marker8/Marker9/Marker1,446498,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker3/MarkerDelimiter/Marker0/Marker5/Marker2,11444,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.RedBlackTree.forEach | Marker0/MarkerDelimiter/Marker0/Marker9/Marker1,0,447232,inf,3.005714615988962,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker4/Marker2/Marker2,161495,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker0/MarkerDelimiter/Marker7/Marker9/Marker1,0,423981,inf,2.849451489610797,14879390,85.22077447319634
CD,cd.RedBlackTree.get | Marker0/MarkerDelimiter/Marker1/Marker1/Marker2,563040,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker1/MarkerDelimiter/Marker4/Marker2/Marker2,190482,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker3/MarkerDelimiter/Marker7/Marker9/Marker1,0,18993,inf,0.12764636184682301,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker9/Marker7/Marker1,0,414434,inf,2.785288913053559,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker4/MarkerDelimiter/Marker4/Marker2/Marker2,40883,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.recurse | Marker0/MarkerDelimiter/Marker1/Marker2/Marker2,28719,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker2/MarkerDelimiter/Marker0/Marker5/Marker2,13955,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker7/Marker3/Marker2,251013,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.putIntoMap | Marker0/MarkerDelimiter/Marker9/Marker7/Marker1,0,144017,inf,0.9678958613222719,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker1/Marker0/Marker2,0,418851,inf,2.8149742697785323,14879390,85.22077447319634
CD,cd.RedBlackTree.get | Marker0/MarkerDelimiter/Marker5/Marker7/Marker1,0,1149668,inf,7.726580189107215,14879390,85.22077447319634
CD,cd.CollisionDetector.putIntoMap | Marker0/MarkerDelimiter/Marker7/Marker3/Marker2,86716,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker0/MarkerDelimiter/Marker7/Marker0/Marker2,0,445903,inf,2.996782798219551,14879390,85.22077447319634
CD,cd.RedBlackTree.put | Marker0/MarkerDelimiter/Marker0/Marker1/Marker2,1706635,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker2/MarkerDelimiter/Marker8/Marker1/Marker2,22035,0,-100.0,0.0,14879390,85.22077447319634
CD,cd.CollisionDetector.handleNewFrame | Marker1/MarkerDelimiter/Marker7/Marker0/Marker2,0,352112,inf,2.3664410973836967,14879390,85.22077447319634
CD,cd.CollisionDetector.recurse | Marker0/MarkerDelimiter/Marker8/Marker9/Marker1,0,93744,inf,0.6300258276716989,14879390,85.22077447319634
CD,CD.benchmark | Marker0/MarkerDelimiter/Marker3/Marker3/Marker2,20725,0,-100.0,0.0,14879390,85.22077447319634
CD,CD.benchmark | Marker2/MarkerDelimiter/Marker7/Marker9/Marker1,0,25970,inf,0.17453672495982697,14879390,85.22077447319634
Json,json.JsonPureStringParser.readString | Marker0/MarkerDelimiter/Marker7/Marker8/Marker1,589507,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker2/MarkerDelimiter/Marker8/Marker9/Marker1,36545,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker5/MarkerDelimiter/Marker7/Marker0/Marker2,0,16953,inf,0.19135523140912197,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker2/MarkerDelimiter/Marker4/Marker9/Marker1,0,38244,inf,0.4316751884628361,8859439,105.91631785318398
Json,json.JsonPureStringParser.readName | Marker0/MarkerDelimiter/Marker5/Marker8/Marker1,0,640205,inf,7.226247621322298,8859439,105.91631785318398
Json,json.JsonPureStringParser.readName | Marker0/MarkerDelimiter/Marker7/Marker8/Marker1,284413,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readString | Marker0/MarkerDelimiter/Marker5/Marker8/Marker1,0,1145126,inf,12.925491106152432,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker4/MarkerDelimiter/Marker7/Marker0/Marker2,0,12808,inf,0.14456897327246115,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker5/MarkerDelimiter/Marker1/Marker1/Marker2,6899,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readString | Marker1/MarkerDelimiter/Marker5/Marker8/Marker1,0,93249,inf,1.0525384282232768,8859439,105.91631785318398
Json,json.JsonPureStringParser.endCapture | Marker0/MarkerDelimiter/Marker6/Marker8/Marker1,50726,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readName | Marker1/MarkerDelimiter/Marker5/Marker8/Marker1,0,58323,inf,0.6583148210625978,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker7/Marker0/Marker2,0,421964,inf,4.7628749405013115,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker1/Marker1/Marker2,185858,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker8/Marker9/Marker1,155826,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker1/Marker0/Marker2,28984,0,-100.0,0.0,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker4/Marker9/Marker1,0,382928,inf,4.322260134078467,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker0/MarkerDelimiter/Marker7/Marker9/Marker1,0,71043,inf,0.8018905034506135,8859439,105.91631785318398
Json,json.JsonPureStringParser.readValue | Marker4/MarkerDelimiter/Marker1/Marker1/Marker2,6434,0,-100.0,0.0,8859439,105.91631785318398
Storage,Storage.lambda$buildTreeDepth$0 | Marker2/MarkerDelimiter/Marker7/Marker7/Marker1,352328,513254,45.67505279171681,3.4374252830454046,14931350,37.77960559311494
Storage,Storage.lambda$buildTreeDepth$0 | Marker0/MarkerDelimiter/Marker7/Marker7/Marker1,34058,49305,44.76774913383053,0.3302112668981706,14931350,37.77960559311494
Storage,Storage.lambda$buildTreeDepth$0 | Marker4/MarkerDelimiter/Marker7/Marker7/Marker1,355366,512890,44.32725696887153,3.4349874592719347,14931350,37.77960559311494
Storage,Storage.lambda$buildTreeDepth$0 | Marker1/MarkerDelimiter/Marker7/Marker7/Marker1,329338,419099,27.25497816832555,2.806839301201834,14931350,37.77960559311494
Storage,Storage.lambda$buildTreeDepth$0 | Marker3/MarkerDelimiter/Marker7/Marker7/Marker1,330487,433966,31.311065185620006,2.9064083287847384,14931350,37.77960559311494
Storage,Storage.buildTreeDepth | Marker0/MarkerDelimiter/Marker0/Marker8/Marker1,543494,1216593,123.84662940161253,8.147910269332646,14931350,37.77960559311494
