benchmark,comp_id,loop_id,baseline_cycles,slowdown_cycles,baseline_total_cycles,percent_change,baseline_share_pct,slowdown_noBubo_pct
Bounce,52,0,242540,242248,197470118310,-0.12039251257524532,0.00012282364647153688,92.63962760073277
Bounce,57,0,6932,5934,197470118310,-14.396999422965957,3.5104045408620994e-06,92.63962760073277
Bounce,58,0,3290,3424,197470118310,4.0729483282674765,1.666074861430512e-06,92.63962760073277
Bounce,71,0,0,30874,197470118310,0.0,0.0,92.63962760073277
Bounce,71,1,0,8022,197470118310,0.0,0.0,92.63962760073277
Bounce,71,2,0,16168,197470118310,0.0,0.0,92.63962760073277
Bounce,73,0,26756,0,197470118310,-100.0,1.3549391791013608e-05,92.63962760073277
Bounce,73,1,6928,0,197470118310,-100.0,3.508378917930269e-06,92.63962760073277
Bounce,73,2,12970,0,197470118310,-100.0,6.568082356460102e-06,92.63962760073277
Bounce,84,0,538,594,197470118310,10.408921933085502,2.7244628433119004e-07,92.63962760073277
Bounce,84,1,98,148,197470118310,51.02040816326531,4.9627761829845033e-08,92.63962760073277
Bounce,84,2,90,86,197470118310,-4.444444444444445,4.557651596618421e-08,92.63962760073277
Bounce,85,0,84590,73168,197470118310,-13.502778106159122,4.2836860950883585e-05,92.63962760073277
Bounce,85,1,126096,114046,197470118310,-9.556211140718183,6.385573730302184e-05,92.63962760073277
Bounce,85,2,98188,99382,197470118310,1.2160345459730315,4.972296610764106e-05,92.63962760073277
Bounce,87,0,358,436,197470118310,21.787709497206702,1.8129325239882162e-07,92.63962760073277
Bounce,88,0,11310,11854,197470118310,4.809902740937224,5.7274488397504824e-06,92.63962760073277
Bounce,138,0,17572,16790,197470118310,-4.450261780104712,8.898561539530988e-06,92.63962760073277
Bounce,140,1,254226,256514,197470118310,0.8999866260728642,0.00012874150386687943,92.63962760073277
Bounce,140,2,12080,12230,197470118310,1.2417218543046358,6.117381254127836e-06,92.63962760073277
Bounce,140,5,716,794,197470118310,10.893854748603351,3.6258650479764324e-07,92.63962760073277
Bounce,141,1,3382,3714,197470118310,9.816676522767594,1.712664188862611e-06,92.63962760073277
Bounce,141,2,1832,2012,197470118310,9.82532751091703,9.277353027783275e-07,92.63962760073277
Bounce,142,0,37824,37998,197470118310,0.4600253807106599,1.915429044338835e-05,92.63962760073277
Bounce,142,1,27398,27564,197470118310,0.6058836411416891,1.387450427157239e-05,92.63962760073277
Bounce,142,2,15092,15178,197470118310,0.5698383249403658,7.642675321796133e-06,92.63962760073277
Bounce,142,5,740,860,197470118310,16.216216216216218,3.7474024238862577e-07,92.63962760073277
Bounce,143,0,351798,337876,197470118310,-3.9573846355010547,0.00017815252404301859,92.63962760073277
Bounce,143,1,413132,398480,197470118310,-3.546566230647832,0.00020921241326824017,92.63962760073277
Bounce,143,2,48090,48026,197470118310,-0.13308380120607194,2.4353051697931098e-05,92.63962760073277
Bounce,172,0,85694,85410,197470118310,-0.33141176745163026,4.3395932880068774e-05,92.63962760073277
Bounce,172,1,82616,82336,197470118310,-0.3389174009877022,4.1837216034025277e-05,92.63962760073277
Bounce,172,2,802,1048,197470118310,30.673316708229425,4.061373978319971e-07,92.63962760073277
Bounce,173,0,183234641052,372123171216,197470118310,103.08560056086529,92.79107270516123,92.63962760073277
Bounce,173,1,166658580038,355318119346,197470118310,113.20121608199443,84.39686037781662,92.63962760073277
Bounce,173,2,12007846856,15509686966,197470118310,29.162931139900607,6.080842488355321,92.63962760073277
Bounce,173,3,365843748,1106363166,197470118310,202.4141240757243,0.18526537135389637,92.63962760073277
Bounce,186,0,380503798,746697990,197470118310,96.23930008709138,0.19268930471934145,92.63962760073277
Bounce,187,0,195768529598,387479817162,197470118310,97.92753102741727,99.13830572110726,92.63962760073277
Bounce,195,0,31850,45926,197470118310,44.19466248037677,1.6129022594699634e-05,92.63962760073277
Bounce,195,1,15770,15928,197470118310,1.0019023462270134,7.986018408741389e-06,92.63962760073277
Bounce,195,2,11314,10496,197470118310,-7.229980555064522,5.729474462682313e-06,92.63962760073277
Bounce,207,0,642,744,197470118310,15.887850467289718,3.251124805587807e-07,92.63962760073277
Bounce,208,0,662,532,197470118310,-19.637462235649547,3.3524059521793275e-07,92.63962760073277
CD,52,0,236176,237626,253895024642,0.6139489194499017,9.30211217541642e-05,85.22077447319634
CD,57,0,7108,6940,253895024642,-2.3635340461451886,2.7995822328627765e-06,85.22077447319634
CD,58,0,3692,3790,253895024642,2.654387865655471,1.4541442886507275e-06,85.22077447319634
CD,69,0,24518,0,253895024642,-100.0,9.656746930969268e-06,85.22077447319634
CD,69,1,6248,0,253895024642,-100.0,2.460859565408923e-06,85.22077447319634
CD,69,2,13458,0,253895024642,-100.0,5.3006158820859945e-06,85.22077447319634
CD,73,0,0,24786,253895024642,0.0,0.0,85.22077447319634
CD,73,1,0,6158,253895024642,0.0,0.0,85.22077447319634
CD,73,2,0,12636,253895024642,0.0,0.0,85.22077447319634
CD,84,0,510,708,253895024642,38.82352941176471,2.0087041907147103e-07,85.22077447319634
CD,84,1,102,150,253895024642,47.05882352941176,4.01740838142942e-08,85.22077447319634
CD,84,2,86,98,253895024642,13.953488372093023,3.387226674538531e-08,85.22077447319634
CD,85,0,85240,93390,253895024642,9.561238854997654,3.357293043461213e-05,85.22077447319634
CD,85,1,119830,121930,253895024642,1.7524826838020529,4.7196671210459555e-05,85.22077447319634
CD,85,2,103592,103368,253895024642,-0.21623291373851264,4.080111461265064e-05,85.22077447319634
CD,87,0,566,384,253895024642,-32.15547703180212,2.2292677881265215e-07,85.22077447319634
CD,88,0,14290,14042,253895024642,-1.735479356193142,5.628310369669257e-06,85.22077447319634
CD,138,0,22796,25024,253895024642,9.77364449903492,8.978513868927947e-06,85.22077447319634
CD,140,1,240092,248118,253895024642,3.3428852273295235,9.456349148177964e-05,85.22077447319634
CD,140,2,11990,11956,253895024642,-0.2835696413678065,4.722424166013603e-06,85.22077447319634
CD,140,5,782,802,253895024642,2.557544757033248,3.080013092429222e-07,85.22077447319634
CD,141,1,3378,3386,253895024642,0.2368265245707519,1.3304711286733904e-06,85.22077447319634
CD,141,2,1800,1832,253895024642,1.7777777777777777,7.089544202522507e-07,85.22077447319634
CD,142,0,38454,37968,253895024642,-1.2638477141519737,1.5145629597988915e-05,85.22077447319634
CD,142,1,27460,27510,253895024642,0.1820830298616169,1.081549354451489e-05,85.22077447319634
CD,142,2,15408,14950,253895024642,-2.9724818276220146,6.068649837359266e-06,85.22077447319634
CD,142,5,964,766,253895024642,-20.539419087136928,3.796844784017609e-07,85.22077447319634
CD,143,0,318970,311900,253895024642,-2.2165093895977677,0.0001256306619043669,85.22077447319634
CD,143,1,377846,372050,253895024642,-1.5339582792989737,0.00014881977326368438,85.22077447319634
CD,143,2,48048,47548,253895024642,-1.0406260406260406,1.892435665793341e-05,85.22077447319634
CD,172,0,101764,95992617184,253895024642,94328559.62815927,4.008113201252779e-05,85.22077447319634
CD,175,0,0,33897095314,253895024642,0.0,0.0,85.22077447319634
CD,179,0,998888,20087282890,253895024642,2010864.4815034317,0.00039342559052051674,85.22077447319634
CD,181,0,6268582,0,253895024642,-100.0,0.002468966065340941,85.22077447319634
CD,184,0,1658272,0,253895024642,-100.0,0.0006531329246558556,85.22077447319634
CD,186,0,0,181292,253895024642,0.0,0.0,85.22077447319634
CD,186,1,0,407242,253895024642,0.0,0.0,85.22077447319634
CD,190,0,0,17307227820,253895024642,0.0,0.0,85.22077447319634
CD,193,0,1305584,0,253895024642,-100.0,0.0005142219710058969,85.22077447319634
CD,195,0,195338,0,253895024642,-100.0,7.693652141290786e-05,85.22077447319634
CD,195,1,451212,0,253895024642,-100.0,0.00017771596770603252,85.22077447319634
CD,196,0,0,810610,253895024642,0.0,0.0,85.22077447319634
CD,196,1,0,612158,253895024642,0.0,0.0,85.22077447319634
CD,196,2,0,601300,253895024642,0.0,0.0,85.22077447319634
CD,196,3,0,570896,253895024642,0.0,0.0,85.22077447319634
CD,196,4,0,132,253895024642,0.0,0.0,85.22077447319634
CD,196,5,0,284,253895024642,0.0,0.0,85.22077447319634
CD,197,0,0,128276458696,253895024642,0.0,0.0,85.22077447319634
CD,197,1,0,7570908150,253895024642,0.0,0.0,85.22077447319634
CD,197,2,0,6356528240,253895024642,0.0,0.0,85.22077447319634
CD,197,3,0,2310129404,253895024642,0.0,0.0,85.22077447319634
CD,197,5,0,11908312,253895024642,0.0,0.0,85.22077447319634
CD,197,6,0,11514000,253895024642,0.0,0.0,85.22077447319634
CD,197,7,0,9995650,253895024642,0.0,0.0,85.22077447319634
CD,198,0,17472852420,6326893624,253895024642,-63.79015016026788,6.88191997643013,85.22077447319634
CD,200,5,0,227406,253895024642,0.0,0.0,85.22077447319634
CD,200,6,0,46938,253895024642,0.0,0.0,85.22077447319634
CD,200,7,0,48574,253895024642,0.0,0.0,85.22077447319634
CD,201,0,0,40217595576,253895024642,0.0,0.0,85.22077447319634
CD,201,1,0,28040862,253895024642,0.0,0.0,85.22077447319634
CD,201,2,0,1252141820,253895024642,0.0,0.0,85.22077447319634
CD,201,3,0,2716555804,253895024642,0.0,0.0,85.22077447319634
CD,204,0,4106024,0,253895024642,-100.0,0.0016172132580343484,85.22077447319634
CD,204,1,8914626,0,253895024642,-100.0,0.003511146393108689,85.22077447319634
CD,204,2,8827044,0,253895024642,-100.0,0.0034766510342006153,85.22077447319634
CD,204,3,8594650,0,253895024642,-100.0,0.0033851195044561143,85.22077447319634
CD,204,4,2793318,0,253895024642,-100.0,0.0011001861907056535,85.22077447319634
CD,204,5,4146,0,253895024642,-100.0,1.6329583479810171e-06,85.22077447319634
CD,204,6,1500118,0,253895024642,-100.0,0.0005908418261110921,85.22077447319634
CD,204,7,85898,0,253895024642,-100.0,3.383209266157101e-05,85.22077447319634
CD,204,8,174622,0,253895024642,-100.0,6.877724376293807e-05,85.22077447319634
CD,204,9,1058,0,253895024642,-100.0,4.167076536816006e-07,85.22077447319634
CD,205,0,185532572,0,253895024642,-100.0,0.07307452056676053,85.22077447319634
CD,205,1,78467634,0,253895024642,-100.0,0.030905542206131,85.22077447319634
CD,205,2,76245090,0,253895024642,-100.0,0.030030163098905927,85.22077447319634
CD,205,3,68734786,0,253895024642,-100.0,0.027072127977662508,85.22077447319634
CD,205,4,61685896,0,253895024642,-100.0,0.024295827020233682,85.22077447319634
CD,205,5,18264,0,253895024642,-100.0,7.193524184159503e-06,85.22077447319634
CD,205,6,34846446,0,253895024642,-100.0,0.013724745512100754,85.22077447319634
CD,205,7,1516978,0,253895024642,-100.0,0.0005974823658474549,85.22077447319634
CD,205,8,3291442,0,253895024642,-100.0,0.001296379086057727,85.22077447319634
CD,205,10,20460,0,253895024642,-100.0,8.058448576867249e-06,85.22077447319634
CD,205,11,21396,0,253895024642,-100.0,8.427104875398419e-06,85.22077447319634
CD,206,0,264414,57190,253895024642,-78.37103935495094,0.00010414304115365477,85.22077447319634
CD,206,1,42846,377024,253895024642,779.9514540447183,1.6875478383404406e-05,85.22077447319634
CD,206,2,0,2144,253895024642,0.0,0.0,85.22077447319634
CD,206,3,0,147784,253895024642,0.0,0.0,85.22077447319634
CD,206,4,0,109544,253895024642,0.0,0.0,85.22077447319634
CD,206,5,0,112,253895024642,0.0,0.0,85.22077447319634
CD,207,0,0,212641187616,253895024642,0.0,0.0,85.22077447319634
CD,207,1,0,14472774588,253895024642,0.0,0.0,85.22077447319634
CD,207,2,0,30154210,253895024642,0.0,0.0,85.22077447319634
CD,207,3,0,1268190304,253895024642,0.0,0.0,85.22077447319634
CD,207,4,0,2764137056,253895024642,0.0,0.0,85.22077447319634
CD,207,5,0,11010902,253895024642,0.0,0.0,85.22077447319634
CD,210,0,58694881082,0,253895024642,-100.0,23.117775216257836,85.22077447319634
CD,211,0,15293832944,2754,253895024642,-99.99998199274171,6.023683593471273,85.22077447319634
CD,212,0,997856,640145648,253895024642,64052.106917230536,0.00039301912331957215,85.22077447319634
CD,212,2,0,2779594,253895024642,0.0,0.0,85.22077447319634
CD,215,0,121040,0,253895024642,-100.0,4.7673246126295786e-05,85.22077447319634
CD,217,0,143082,0,253895024642,-100.0,5.6354786865851397e-05,85.22077447319634
CD,217,1,712,0,253895024642,-100.0,2.804308595664458e-07,85.22077447319634
CD,217,3,22232,0,253895024642,-100.0,8.75637481724891e-06,85.22077447319634
CD,217,4,36552,0,253895024642,-100.0,1.4396501093922369e-05,85.22077447319634
CD,218,0,33202344560,0,253895024642,-100.0,13.07719385475015,85.22077447319634
CD,218,1,16500334,0,253895024642,-100.0,0.006498880402743611,85.22077447319634
CD,218,2,866218914,0,253895024642,-100.0,0.34117207110355785,85.22077447319634
CD,218,3,1421202412,0,253895024642,-100.0,0.5597598511447557,85.22077447319634
CD,221,0,2607141706,0,253895024642,-100.0,1.026858131495941,85.22077447319634
CD,223,0,711462,0,253895024642,-100.0,0.00028021896096750375,85.22077447319634
