benchmark,comp_id,comp_name,method_dot,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,loop_median_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,2,0,27363638544,27356221832,-0.02710426096322726,,7.279891136599613,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,3,0,105338,105452,0.10822305340902619,,2.8062321063601998e-05,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,4,0,154426386,154476362,0.03236234512410334,,0.04110842152999665,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,5,0,95174,83528,-12.236535188181646,,2.2228023686611423e-05,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,6,0,152,162,6.578947368421052,,4.3110571751161894e-08,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,7,0,92820,92068,-0.8101702219349279,,2.4500642715962797e-05,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,8,0,208435258,207858170,-0.2768667861365374,,0.055314102171914854,375777897206,82.52044538316134
LoopBenchmarks,187,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,9,0,15685014704,15678138090,-0.04384193531069067,,4.1721820805775875,375777897206,82.52044538316134
LoopBenchmarks,191,LoopBenchmarks.parseJsonLoop(char[])-Re-Comp,LoopBenchmarks.parseJsonLoop,0,0,10982962680,23077047352,110.11677836275777,102.77442702050668,6.141140158477509,375777897206,82.52044538316134
LoopBenchmarks,193,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,1,0,28992,28890,-0.3518211920529801,,7.688051962290538e-06,375777897206,82.52044538316134
LoopBenchmarks,193,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,2,0,74,76,2.7027027027027026,,2.022471267338459e-08,375777897206,82.52044538316134
LoopBenchmarks,193,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,3,0,114,118,3.508771929824561,,3.140152757183397e-08,375777897206,82.52044538316134
LoopBenchmarks,193,LoopBenchmarks.main(String[])-Re-Comp,LoopBenchmarks.main,4,0,120,118,-1.6666666666666667,,3.140152757183397e-08,375777897206,82.52044538316134
LoopBenchmarks,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",LoopBenchmarks.matrixMultiplyLoop,1,0,9714080,9715126,0.010767875084413552,,0.0025853372623122124,375777897206,82.52044538316134
LoopBenchmarks,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",LoopBenchmarks.matrixMultiplyLoop,2,0,8564484,8569286,0.05606876024288212,137.6055017192873,0.002280412462711278,375777897206,82.52044538316134
LoopBenchmarks,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",LoopBenchmarks.matrixMultiplyLoop,3,0,9466,7820,-17.388548489330237,,2.081016488235099e-06,375777897206,82.52044538316134
LoopBenchmarks,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",LoopBenchmarks.matrixMultiplyLoop,4,0,105268,107048,1.6909222175779912,,2.8487040029743077e-05,375777897206,82.52044538316134
LoopBenchmarks,194,"LoopBenchmarks.matrixMultiplyLoop(double[][],",LoopBenchmarks.matrixMultiplyLoop,5,0,2930,2988,1.9795221843003412,,7.951505456325414e-07,375777897206,82.52044538316134
