benchmark,nested_mode,comp_id,loop_id,comp_name,encoding,n_runs,median_loop_cycles
Bounce,NoNested,92,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,57826
Bounce,NoNested,92,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,111838
Bounce,NoNested,92,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,93981
Bounce,NoNested,120,0,"java.lang.StringLatin1.equals(byte[],",0:-1,2,6161
Bounce,NoNested,125,0,Bounce.benchmark(),"2:-1,0:-1,1:0",2,81328
Bounce,NoNested,125,2,Bounce.benchmark(),"2:-1,0:-1,1:0",2,736
Bounce,NoNested,126,0,Bounce.benchmark()-Re-Comp,"3:-1,2:-1,0:-1,1:0",2,166549652970
Bounce,NoNested,126,2,Bounce.benchmark()-Re-Comp,"3:-1,2:-1,0:-1,1:0",2,12528593950
Bounce,NoNested,126,3,Bounce.benchmark()-Re-Comp,"3:-1,2:-1,0:-1,1:0",2,583779733
Bounce,NoNested,143,0,Benchmark.innerBenchmarkLoop(int),0:-1,2,354071918
Bounce,NoNested,144,0,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0:-1,2,179738168350
Bounce,NoNested,152,0,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,13255
Bounce,NoNested,152,1,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,21985
Bounce,NoNested,152,2,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,17319
Bounce,NoNested,161,0,"java.lang.StringCoding.implEncodeAsciiArray(char[],",0:-1,2,309
Bounce,NoNested,162,0,"java.lang.StringCoding.implEncodeAsciiArray(char[],-Re-Comp",0:-1,2,893
Json,Nested,52,0,java.util.ImmutableCollections$SetN$SetNIterator.next(),0:-1,2,369684
Json,Nested,56,0,"java.util.HashMap.putVal(int,",0:-1,2,10737
Json,Nested,57,0,java.lang.String.equals(Object),0:-1,2,9295
Json,Nested,69,0,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,26280
Json,Nested,69,1,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,7848
Json,Nested,69,2,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,17136
Json,Nested,70,0,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,32830
Json,Nested,70,1,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,9706
Json,Nested,70,2,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,16310
Json,Nested,88,1,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,288196
Json,Nested,88,2,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,16556
Json,Nested,88,5,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,513
Json,Nested,89,1,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,4290
Json,Nested,89,2,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,2287
Json,Nested,90,0,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,49157
