run_dir,nested_mode,benchmark,log_path,total_cycles,comp_id,comp_name,encoding,loop_id,loop_cycles
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,52,java.util.ImmutableCollections$SetN$SetNIterator.next(),0:-1,0,402862
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,56,"java.util.HashMap.putVal(int,",0:-1,0,9420
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,57,java.lang.String.equals(Object),0:-1,0,9630
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,73,java.util.HashMap.resize(),"2:-1,0:-1,1:0",0,27568
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,73,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,8100
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,73,java.util.HashMap.resize(),"2:-1,0:-1,1:0",2,15850
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,88,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",1,243060
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,88,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,16324
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,88,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",5,514
bubo_runs20_BuboNested,Nested,Bounce,/home/hb478/repos/BuboExperiments/BuboLoopObserverEffect/bubo_runs20_BuboNested/logs/Bounce_BuboOn.log,225447469756,89,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",0,576512
