Method: cd::RedBlackTree::treeInsert, Block ID: 336, Normal Time: 1.182, Slowdown Time: 0.616, Percentage Increase: -47.884940778341786%
Method: cd::RedBlackTree::treeInsert, Block ID: 337, Normal Time: 0.006, Slowdown Time: 0.912, Percentage Increase: 15100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 338, Normal Time: 0.0, Slowdown Time: 2.641, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 339, Normal Time: 2.224, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 340, Normal Time: 2.841, Slowdown Time: 2.172, Percentage Increase: -23.5480464625132%
Method: cd::RedBlackTree::treeInsert, Block ID: 341, Normal Time: 0.0, Slowdown Time: 4.861, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 342, Normal Time: 0.463, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 343, Normal Time: 0.011, Slowdown Time: 0.363, Percentage Increase: 3200.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 344, Normal Time: 0.007, Slowdown Time: 1.236, Percentage Increase: 17557.14285714286%
Method: cd::RedBlackTree::treeInsert, Block ID: 345, Normal Time: 0.004, Slowdown Time: 0.019, Percentage Increase: 375.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 346, Normal Time: 0.035, Slowdown Time: 0.013, Percentage Increase: -62.85714285714287%
Method: cd::RedBlackTree::treeInsert, Block ID: 347, Normal Time: 0.025, Slowdown Time: 0.022, Percentage Increase: -12.00000000000001%
Method: cd::RedBlackTree::treeInsert, Block ID: 348, Normal Time: 0.0, Slowdown Time: 0.053, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 352, Normal Time: 4.016, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 353, Normal Time: 0.045, Slowdown Time: 3.916, Percentage Increase: 8602.222222222223%
Method: cd::RedBlackTree::treeInsert, Block ID: 354, Normal Time: 0.015, Slowdown Time: 8.614, Percentage Increase: 57326.666666666664%
Method: cd::RedBlackTree::treeInsert, Block ID: 355, Normal Time: 0.015, Slowdown Time: 0.021, Percentage Increase: 40.000000000000014%
Method: cd::RedBlackTree::treeInsert, Block ID: 356, Normal Time: 0.001, Slowdown Time: 0.032, Percentage Increase: 3100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 357, Normal Time: 4.564, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 358, Normal Time: 0.079, Slowdown Time: 4.557, Percentage Increase: 5668.354430379748%
Method: cd::RedBlackTree::treeInsert, Block ID: 359, Normal Time: 0.085, Slowdown Time: 9.829, Percentage Increase: 11463.529411764704%
