comp_id,method,loop_id,num_blocks_matched,total_normal_time,total_slowdown_time,median_pct_slowdown
186,json.JsonPureStringParser.readStringInternal,0,20,5.7940000000000005,11.703000000000001,101.98481187435277
186,json.JsonPureStringParser.readStringInternal,1,4,1.874,2.396,27.854855923159004
186,json.JsonPureStringParser.readStringInternal,3,2,1.482,1.7400000000000002,17.408906882591108
195,json.JsonPureStringParser.readArray,0,15,1.3970000000000002,2.7849999999999997,99.35576234788827
195,json.JsonPureStringParser.readArray,2,1,0.632,0.649,2.6898734177215213
195,json.JsonPureStringParser.readArray,3,1,0.003,0.002,-33.33333333333333
197,json.JsonPureStringParser.endCapture,0,3,0.603,0.656,8.78938640132671
197,json.JsonPureStringParser.endCapture,1,1,0.553,0.565,2.1699819168173415
198,json.JsonPureStringParser.readNumber,0,11,0.273,0.5740000000000001,110.25641025641026
208,json.JsonPureStringParser.readObject,0,133,1.5179999999999991,2.8159999999999976,85.50724637681154
208,json.JsonPureStringParser.readObject,1,1,0.154,0.164,6.4935064935065
208,json.JsonPureStringParser.readObject,2,1,0.01,0.019000000000000003,90.00000000000003
208,json.JsonPureStringParser.readObject,3,1,0.01,0.022000000000000002,120.00000000000001
208,json.JsonPureStringParser.readObject,4,1,0.17200000000000001,0.219,27.325581395348824
208,json.JsonPureStringParser.readObject,5,1,0.136,0.22300000000000003,63.97058823529412
