benchmark,comp_id,loop_id,baseline_samples,slowdown_samples,slowdown_pct,runtime_share_pct,total_samples_slowdown,prog_slowdown_noBubo_pct
Mandelbrot,961,2,7906338,16726577,111.55909347665127,96.73019164015344,17291992,104.14433086081156
Mandelbrot,961,1,146363,504616,244.7701946530202,2.9182063003498957,17291992,104.14433086081156
