benchmark,baseline_noBubo,slowdown_noBubo,slowdown_withBubo,baseline_withBubo,slowdown_noBubo_pct,slowdown_withBubo_pct,baseline_withBubo_pct
Richards,125321526842,239036864134,271917663976,160063552302,90.738869975122,116.97602225898677,27.722312626944973
Bounce,187398401598,360921663794,390384663696,197470118310,92.59591368779952,108.31803279381138,5.374494459993031
Mandelbrot,212878925480,434367409766,452357276720,250338150920,104.04434529467261,112.49509583911303,17.596493103080462
NBody,180418121208,355532915204,355454204806,181355168552,97.06053517435429,97.01690851563897,0.5193754029395413
Permute,164581155822,314914057944,761060429928,630764379112,91.3427186552208,362.42258181192517,283.2543136312596
Sieve,299996717442,654681426804,763147529510,421516887738,118.22953010496629,154.38529328493183,40.507166655746545
Queens,114994263724,224359053112,223699732822,114505948922,95.10456073747173,94.53121014706102,-0.42464274841744626
List,476712160194,963389356372,962884167212,476601623870,102.09036748295756,101.98439385732267,-0.023187225590179363
CD,190590613230,352888873270,408905475290,253895024642,85.15543199608813,114.54649227480216,33.21486317671155
Json,100342871926,206535507792,233086886620,131121343046,105.82977527722551,132.29042795575447,30.67330098215471
Storage,247996147644,341560663728,571850497676,417181216174,37.728213511732626,130.5884599856345,68.220845419287
