benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,596,1,3,5666,0.052947,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,...,602,3,1,5666,0.017649,
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,CD.benchmark(int),,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.CollisionDetector$CollectCollisions.apply(RedBlackTree$Entry),,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,cd.Simulator.simulate(double),,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"cd.Vector3D.<init>(double, double, double)",,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.io.FileOutputStream.writeBytes(byte[], int, int, boolean)",,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,java.lang.Boolean.booleanValue(),,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"java.lang.StringConcatHelper.prepend(int, byte, byte[], String, String) line: 766",,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"jdk.jfr.internal.periodic.PeriodicTask.run(long, PeriodicType) line: 125",,,1,5666,0.017649,no_marker
CD,AWFY,WithoutProbe,AUTO_PIPELINE,jfr,"sun.nio.cs.UTF_8.updatePositions(Buffer, int, Buffer, int) line: 82",,,1,5666,0.017649,no_marker
