benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,2,12410,13087,94.826927,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,1,657,13087,5.020249,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,120,2,13,13087,0.099335,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,0,5,13087,0.038206,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.mandelbrot,,,2,13087,0.015282,no_marker
