benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,2,5744,6404,89.693941,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,1,394,6404,6.152405,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.mandelbrot,,,241,6404,3.763273,no_marker
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,121,0,12,6404,0.187383,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,120,2,11,6404,0.171768,
Mandelbrot,AWFY,WithoutProbe,AUTO_PIPELINE,async,Mandelbrot.innerBenchmarkLoop,120,1,2,6404,0.031230,
