tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
async,LoopBenchmarks,slowdown,Harness::main,567761,13232667,4.290601433558329
async,LoopBenchmarks,slowdown,LoopBenchmarks::base64EncodeLoop,102090,13232667,0.7714998042344752
async,LoopBenchmarks,slowdown,LoopBenchmarks::blurLoop,318172,13232667,2.4044434882250116
async,LoopBenchmarks,slowdown,LoopBenchmarks::bubbleSortLoop,1484713,13232667,11.220058662399651
async,LoopBenchmarks,slowdown,LoopBenchmarks::crc32Loop,2478839,13232667,18.732724098626527
async,LoopBenchmarks,slowdown,LoopBenchmarks::editDistanceLoop,1612250,13232667,12.1838628599964
async,LoopBenchmarks,slowdown,LoopBenchmarks::histogramLoop,495830,13232667,3.747014868582425
async,LoopBenchmarks,slowdown,LoopBenchmarks::mandelbrotLoop,150787,13232667,1.1395057398482105
async,LoopBenchmarks,slowdown,LoopBenchmarks::matrixMultiplyLoop,908469,13232667,6.865350726350175
async,LoopBenchmarks,slowdown,LoopBenchmarks::monteCarloPiLoop,814433,13232667,6.154715447762722
async,LoopBenchmarks,slowdown,LoopBenchmarks::parseJsonLoop,874674,13232667,6.609960033000151
async,LoopBenchmarks,slowdown,LoopBenchmarks::polynomialLoop,375534,13232667,2.8379313104455814
async,LoopBenchmarks,slowdown,LoopBenchmarks::raySphereLoop,119512,13232667,0.9031588265615691
async,LoopBenchmarks,slowdown,LoopBenchmarks::sieveLoop,860445,13232667,6.5024306891422565
