tool,benchmark,run_type,method_key,samples,total_samples,runtime_share_pct
async,LoopBenchmarks,noSlow,Harness::main,565866,7461961,7.583341697979929
async,LoopBenchmarks,noSlow,LoopBenchmarks::base64EncodeLoop,108776,7461961,1.4577401302419029
async,LoopBenchmarks,noSlow,LoopBenchmarks::blurLoop,185807,7461961,2.490055898174756
async,LoopBenchmarks,noSlow,LoopBenchmarks::bubbleSortLoop,691444,7461961,9.266250520473102
async,LoopBenchmarks,noSlow,LoopBenchmarks::crc32Loop,1291449,7461961,17.307099300036548
async,LoopBenchmarks,noSlow,LoopBenchmarks::editDistanceLoop,783913,7461961,10.5054556034265
async,LoopBenchmarks,noSlow,LoopBenchmarks::histogramLoop,302572,7461961,4.054859037724802
async,LoopBenchmarks,noSlow,LoopBenchmarks::main,14695,7461961,0.1969321469249169
async,LoopBenchmarks,noSlow,LoopBenchmarks::mandelbrotLoop,205445,7461961,2.753230685606639
async,LoopBenchmarks,noSlow,LoopBenchmarks::matrixMultiplyLoop,392521,7461961,5.260292837231393
async,LoopBenchmarks,noSlow,LoopBenchmarks::monteCarloPiLoop,599822,7461961,8.038396341122663
async,LoopBenchmarks,noSlow,LoopBenchmarks::parseJsonLoop,542363,7461961,7.268370874626656
async,LoopBenchmarks,noSlow,LoopBenchmarks::polynomialLoop,376366,7461961,5.0437947879920575
async,LoopBenchmarks,noSlow,LoopBenchmarks::raySphereLoop,344940,7461961,4.622645441325679
async,LoopBenchmarks,noSlow,LoopBenchmarks::sieveLoop,440426,7461961,5.902282255294553
