benchmark,comp_id,loop_id,label,baseline_cycles,slowdown_cycles,percent_increase,runtime_share_pct,is_core_95pct,total_baseline_cycles,total_slowdown_cycles,overall_slowdown_pct_noBubo,source
CD,249,2,C249L2,195764,0,-100.0,7.710430729236755e-05,False,253895024642,408905475290,85.22077447319634,-at cd.CollisionDetector.handleNewFrame(Vector) [bci: 251] | -at cd.CollisionDetector.handleNewFrame(Vector) [bci: 317]
CD,195,0,C195L0,195338,0,-100.0,7.693652141290786e-05,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree$Node.successor() [bci: 22] | -at cd.RedBlackTree$Node.successor() [bci: 44]
CD,204,8,C204L8,174622,0,-100.0,6.877724376293807e-05,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.treeMinimum(RedBlackTree$Node) [bci: 2]
CD,223,3,C223L3,172220,0,-100.0,6.783118347546812e-05,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree$Node.successor() [bci: 22]
CD,217,0,C217L0,143082,0,-100.0,5.6354786865851397e-05,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.forEach(ForEachInterface) [bci: 16] | -at cd.RedBlackTree.forEach(ForEachInterface) [bci: 52]
CD,215,0,C215L0,121040,0,-100.0,4.7673246126295786e-05,False,253895024642,408905475290,85.22077447319634,"-at jdk.graal.compiler.hotspot.replacements.HotSpotAllocationSnippets.allocateArray(KlassPointer, int, int, int, AllocationSnippets$FillContent, int, boolean, boolean, boolean, boolean, HotSpotAllocationSnippets$HotSpotAllocationProfilingData, boole"
CD,85,1,C85L1,119830,121930,1.7524826838020529,4.7196671210459555e-05,False,253895024642,408905475290,85.22077447319634,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
CD,223,4,C223L4,106340,0,-100.0,4.1883451694235745e-05,False,253895024642,408905475290,85.22077447319634,-at cd.RedBlackTree.treeMinimum(RedBlackTree$Node) [bci: 2]
CD,85,2,C85L2,103592,103368,-0.21623291373851264,4.080111461265064e-05,False,253895024642,408905475290,85.22077447319634,Source Missing | -at jdk.internal.util.ArraysSupport.unsignedHashCode(ArraysSupport.java:381) [bci: 34]
CD,172,0,C172L0,101764,95992617184,94328559.62815927,4.008113201252779e-05,False,253895024642,408905475290,85.22077447319634,"-at cd.RedBlackTree.treeInsert(Comparable, Object) [bci: 8] | -at cd.RedBlackTree.treeInsert(Comparable, Object) [bci: 90]"
