Benchmark,baseline_noBubo_us,slowdown_noBubo_us,slowdown_withBubo_us,baseline_withBubo_us,pct_slowdown_noBubo_vs_baseline,pct_slowdown_withBubo_vs_baseline,pct_baseline_withBubo_vs_baseline,extra_Bubo_in_slowdown_vs_baseline,Bubo_no_slowdown_vs_baseline
Bounce,112997,217677,235534,119053,92.63962760073277,108.44270201863768,5.359434321265177,15.80307441790491,5.359434321265177
CD,114891,212802,246690,153116,85.22077447319634,114.71655743269706,33.27066523922675,29.495782959500715,33.27066523922675
Json,60443,124462,140536,79013,105.91631785318398,132.5099680690899,30.72316066376586,26.59365021590591,30.72316066376586
List,287698,581492,581256,287646,102.11888855675046,102.03685809425163,-0.018074508686194424,-0.08203046249883528,-0.018074508686194424
Mandelbrot,128344,262007,272943,150973,104.14433086081156,112.66518107585864,17.631521535872352,8.520850215047076,17.631521535872352
NBody,108782,214469,214479,109359,97.15486017907375,97.164052876395,0.5304186354360141,0.009192697321253718,0.5304186354360141
Permute,99232,189888,459362,380704,91.35762657207351,362.9172041277007,283.6504353434376,271.5595775556272,283.6504353434376
Queens,69295,135217,134886,69000,95.13240493542104,94.6547369940111,-0.42571614113572354,-0.4776679414099334,-0.42571614113572354
Richards,75526,144085,164010,96501,90.77536212694966,117.15700553451791,27.77189312289807,26.381643407568248,27.77189312289807
Sieve,180960,395061,460620,254355,118.3139920424403,154.5424403183024,40.558687002652526,36.22844827586209,40.558687002652526
Storage,149541,206037,345085,251697,37.77960559311493,130.76280083722858,68.31303789596164,92.98319524411366,68.31303789596164
