benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,217,0.0,2174525
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,207,0.0,2064609
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,int org.graalvm.collections.EconomicMapImpl::getHashIndex,197,0.0,1969667
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,java.lang.Object* org.graalvm.collections.EconomicMapImpl::put,192,0.0,1919365
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void com.oracle.svm.core.UnmanagedMemoryUtil::copyLongsForward,193,0.0,1894301
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,InstanceKlass::find_method_index,182,0.0,1819718
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,next_uptodate_page_[k],171,0.0,1766443
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,clear_page_erms_[k],157,0.0,1687907
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,int org.graalvm.collections.EconomicMapImpl::findHash,167,0.0,1677560
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void java.util.ArrayList::add,164,0.0,1645707
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeBitMap::isMarked,164,0.0,1637827
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.util.EconomicSetNodeEventListener::changed,153,0.0,1531015
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void com.oracle.svm.core.UnmanagedMemoryUtil::copyForward,156,0.0,1529871
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue::leave,154,0.0,1524748
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,boolean org.graalvm.collections.EconomicMapImpl::compareKeys,151,0.0,1515261
NBody,BuboOff,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/NBody_BuboOff.txt,7185953,void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::visitEach,147,0.0,1477145
