benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Bounce$Ball.bounce,5120330,57.41,51416851649
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Bounce.benchmark,2358592,26.45,23688594087
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,java.lang.String.hashCode,573537,6.44,5764783823
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,java.lang.Math.abs,286079,3.21,2873142177
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Bounce$Ball.<init>,218815,2.47,2212652081
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Bounce.lambda$benchmark$0,106809,1.21,1080117036
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,java.util.Arrays.setAll,101456,1.15,1025813647
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,som.Random.next,63633,0.72,643384639
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,java.lang.Integer.valueOf,16403,0.18,164962716
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Benchmark.innerBenchmarkLoop,5782,0.07,58320920
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,Bounce.verifyResult,3024,0.03,30512089
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,G1ParScanThreadState::trim_queue_to_threshold,2442,0.03,24483288
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,G1HeapRegionManager::par_iterate,770,0.01,8765471
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,jdk.internal.misc.Unsafe.allocateInstance,789,0.01,7974479
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,__memset_avx2_unaligned_erms,579,0.01,6725447
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,do_user_addr_fault_[k],593,0.01,6106543
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,__futex_abstimed_wait_common,485,0.01,6047188
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,_raw_spin_unlock_irqrestore_[k],467,0.01,5848809
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,"void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>",479,0.01,4824034
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,[vdso],377,0.0,4355907
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,G1ParScanThreadState::steal_and_trim_queue,397,0.0,4026283
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,387,0.0,3845609
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,syscall_enter_from_user_mode_[k],304,0.0,3664970
Bounce,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Bounce_BuboOn.txt,8911692,blkcg_maybe_throttle_current_[k],212,0.0,3214758
