benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,277,0.0,2777381
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,269,0.0,2692141
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,int org.graalvm.collections.EconomicMapImpl::findLinear,266,0.0,2660532
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__GI___libc_malloc,259,0.0,2654200
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,void com.oracle.svm.core.graal.jdk.SubstrateArraycopySnippets::doArraycopy,265,0.0,2632509
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,TypeArrayKlass::allocate_common,260,0.0,2621213
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,256,0.0,2527319
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,syscall_exit_work_[k],163,0.0,2517346
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,SpinPause,252,0.0,2514864
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,G1FromCardCache::clear,207,0.0,2472352
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,next_uptodate_page_[k],236,0.0,2422265
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,MemAllocator::mem_allocate_inside_tlab_slow,235,0.0,2403875
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,"Stub<new_array_or_null(KlassPointer,int)Object>",237,0.0,2401210
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,G1HeapRegionClaimer::claim_region,216,0.0,2351671
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,futex_wake_[k],205,0.0,2254348
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,int LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeIdAccessor::getNodeId,214,0.0,2141486
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,__clock_gettime_2,182,0.0,2105028
Sieve,BuboOn,bubo_runs5_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs5_BuboWithDebug/async/Sieve_BuboOn.txt,21520221,Run.measure,213,0.0,2077886
