CompId,Method,LoopId,BaselineCyclesExclusive,SlowdownCyclesExclusive,PercentChangeCyclesExclusive,BaselineSharePercentExclusive
115,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0,20519014794,41727598620,103.36063421622777,48.14350181610961
99,Bounce.benchmark()-Re-Comp,1,18605138326,39695462146,113.35752226322899,43.65299795235147
99,Bounce.benchmark()-Re-Comp,0,1693064962,1714516720,1.2670369112511348,3.9724166530974507
99,Bounce.benchmark()-Re-Comp,2,1342134210,2890668592,115.3785046578911,3.149032320766786
114,Benchmark.innerBenchmarkLoop(int),0,420032872,811118192,93.10826510740331,0.9855177521423125
