benchmark,method_key,async_slowdown_pct,jfr_slowdown_pct,method_median_notools_95pct,prog_slowdown_pct
LoopBenchmarks,Harness::main,0.3348849374233476,0.0,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::base64EncodeLoop,-6.146576450687652,101.30434782608695,99.6113989637306,82.52044538316134
LoopBenchmarks,LoopBenchmarks::blurLoop,71.23789738815007,102.04081632653062,98.0985915492958,82.52044538316134
LoopBenchmarks,LoopBenchmarks::bubbleSortLoop,114.72642759211158,114.01515151515152,106.55448294004373,82.52044538316134
LoopBenchmarks,LoopBenchmarks::crc32Loop,91.94246152964615,102.40174672489081,100.0,82.52044538316134
LoopBenchmarks,LoopBenchmarks::editDistanceLoop,105.66695538918222,105.3921568627451,109.81722275615522,82.52044538316134
LoopBenchmarks,LoopBenchmarks::histogramLoop,63.871739618999776,66.25,95.95375722543355,82.52044538316134
LoopBenchmarks,LoopBenchmarks::main,-100.0,-16.666666666666664,0.7915567282321848,82.52044538316134
LoopBenchmarks,LoopBenchmarks::mandelbrotLoop,-26.604687385918375,5.232558139534884,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::matrixMultiplyLoop,131.44468703585287,128.95622895622895,118.52859314904748,82.52044538316134
LoopBenchmarks,LoopBenchmarks::monteCarloPiLoop,35.77911447062628,97.04016913319239,105.61850522966523,82.52044538316134
LoopBenchmarks,LoopBenchmarks::parseJsonLoop,61.27095690524612,73.2843137254902,99.85380116959062,82.52044538316134
LoopBenchmarks,LoopBenchmarks::polynomialLoop,-0.2210614136239724,-1.0204081632653061,,82.52044538316134
LoopBenchmarks,LoopBenchmarks::raySphereLoop,-65.35281498231576,99.13419913419914,97.88269962171034,82.52044538316134
LoopBenchmarks,LoopBenchmarks::sieveLoop,95.36653149450758,94.65875370919882,103.15351894818252,82.52044538316134
LoopBenchmarks,java.util.HashMap::putVal,0.0,-100.0,,82.52044538316134
LoopBenchmarks,java.util.Properties$LineReader::readLine,0.0,-100.0,,82.52044538316134
