CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChangeSamples,BaselineSharePercent
207,1,753378,1345458,78.59003050261622,26.392754147153536
207,0,618542,1208987,95.45754370762212,21.669104932303096
207,2,334076,576960,72.70321723200709,11.703534924651986
212,0,278208,360183,29.46536404416839,9.746336295685952
207,13,195217,467762,139.61130434337176,6.83894975210966
207,12,192302,307298,59.799690070826095,6.736829862308056
207,11,187101,433439,131.66044008316365,6.554625558068556
190,1,165782,275219,66.01259485348228,5.807766576703073
190,2,67207,142324,111.76960733256954,2.3544327389009867
235,1,62675,61558,-1.7822098125249302,2.1956652121150975
