benchmark,suite,mode,tag,profiler,method,comp_id,loop_id,samples,total_samples,runtime_share_pct,notes
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,SpaceMangler::mangle_region,,,12240,15337,79.807003,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readString,143,0,731,15337,4.766252,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readName,143,0,509,15337,3.318772,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,MemAllocator::mem_allocate_inside_tlab_slow,,,436,15337,2.842798,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,java.lang.String.equals,,,382,15337,2.490709,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,167,0,334,15337,2.177740,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,154,0,255,15337,1.662646,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,java.lang.StringLatin1.toBytes,,,81,15337,0.528135,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readString,143,1,54,15337,0.352090,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,java.lang.String.valueOf,,,48,15337,0.312969,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,157,0,43,15337,0.280368,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,154,2,38,15337,0.247767,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.read,,,34,15337,0.221686,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,MarkBitMap::get_next_marked_addr,,,25,15337,0.163004,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readName,143,1,25,15337,0.163004,
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,,,23,15337,0.149964,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.isWhiteSpace,,,19,15337,0.123883,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,java.lang.Object.clone,,,15,15337,0.097803,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.isDigit,,,14,15337,0.091283,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readStringInternal,,,11,15337,0.071722,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readDigit,,,10,15337,0.065202,no_marker
Json,AWFY,WithoutProbe,AUTO_PIPELINE,async,json.JsonPureStringParser.readValue,167,4,10,15337,0.065202,
