comp_id,loop_id,samples,percentage,total_samples
145,0,3476155,20.307224,17117825
148,0,1233426,7.205507,17117825
152,0,746878,4.363159,17117825
163,0,936673,5.471916,17117825
170,0,421667,2.463321,17117825
170,2,35174,0.205482,17117825
170,3,28025,0.163718,17117825
171,0,125279,0.731863,17117825
174,0,501945,2.932294,17117825
174,2,38763,0.226448,17117825
174,3,52291,0.305477,17117825
180,0,373969,2.184676,17117825
180,1,351856,2.055495,17117825
180,4,73989,0.432234,17117825
185,0,22927,0.133936,17117825
