CompId,LoopId,BaselineSamples,SlowdownSamples,PercentChangeSamples,BaselineSharePercent
159,3,6214195,13144678,111.526641825691,52.499298792232985
159,2,4242074,6907127,62.824293022705405,35.838255868179694
159,4,1181674,2343064,98.28345211962014,9.983120323873505
159,0,118284,206711,74.7582090561699,0.9992971025757136
145,2,17709,17835,0.7115026257834999,0.14961070296501058
145,1,12855,10640,-17.230649552703227,0.10860272102406747
158,6,11832,11913,0.6845841784989858,0.0999601240884299
159,5,9916,17861,80.12303348124243,0.08377320744260233
158,5,8126,8093,-0.4061038641397982,0.06865077487682399
140,0,6909,6890,-0.27500361846866406,0.05836921038936462
140,1,5630,5734,1.8472468916518652,0.04756385214823025
145,3,3496,3400,-2.745995423340961,0.02953520907819058
158,9,2098,2117,0.905624404194471,0.017724504761454186
142,1,1281,1209,-5.620608899297424,0.010822254813833561
159,1,470,1070,127.65957446808511,0.003970694584310518
158,0,171,174,1.7543859649122806,0.001444656965781061
