Level,CompId,LoopId,BaselineSamples,AsyncSlowSamples,AsyncBuboOn,BuboBaselineCycles,BuboSlowdownCycles,BuboPercentChange,JfrBaselineSamples,JfrSamples,JfrBuboOn
150,83,0,0,0,0.0,482,460,-4.564315352697095,0,0,0.0
150,568,2,0,0,0.0,0,0,0.0,6332,15169,139.5609602021478
150,162,0,0,0,0.0,646,444,-31.269349845201237,0,0,0.0
150,52,0,0,0,0.0,242836,246336,1.4413019486402345,0,0,0.0
150,140,0,1570,1580,0.6369426751592357,38644414,40804952,5.5908157903494144,0,0,0.0
150,84,1,0,0,0.0,85798,214100,149.53961630807245,0,0,0.0
150,139,1,2058,2173,5.587949465500486,112608462,115502698,2.5701762981186973,0,0,0.0
150,161,1,0,0,0.0,31064,10368,-66.62374452742725,0,0,0.0
150,139,4,0,0,0.0,65190,63100,-3.2060131922073936,0,0,0.0
150,87,0,0,0,0.0,332,356,7.228915662650602,0,0,0.0
150,69,0,0,0,0.0,7620,7492,-1.6797900262467191,0,0,0.0
150,58,0,0,0,0.0,4342,3208,-26.116996775679414,0,0,0.0
150,135,0,0,0,0.0,36872,8014,-78.26535040138859,0,0,0.0
150,83,2,0,0,0.0,278,84,-69.7841726618705,0,0,0.0
150,567,2,0,0,0.0,0,0,0.0,13,14,7.6923076923076925
150,568,1,0,0,0.0,0,0,0.0,839,950,13.230035756853397
150,140,2,8417693,20084095,138.59381661935163,362263950478,884211455808,144.07933901270076,0,0,0.0
150,139,3,0,0,0.0,54914,38366,-30.13439195833485,0,0,0.0
150,84,0,0,0,0.0,28194,27850,-1.2201177555508265,0,0,0.0
150,161,0,0,0,0.0,30606,11312,-63.03992681173626,0,0,0.0
150,69,2,0,0,0.0,8668,8004,-7.660359944623904,0,0,0.0
150,83,1,0,0,0.0,144,96,-33.33333333333333,0,0,0.0
150,568,0,0,0,0.0,0,0,0.0,3,0,-100.0
150,140,1,1087814,1278929,17.568720387860427,58111106628,41109995960,-29.256215643651608,0,0,0.0
150,567,1,0,0,0.0,0,0,0.0,2,1,-50.0
150,163,0,0,0,0.0,14794,14280,-3.474381506015953,0,0,0.0
150,88,0,0,0,0.0,36278,9554,-73.66447985004686,0,0,0.0
150,57,0,0,0,0.0,6968,6016,-13.662456946039036,0,0,0.0
150,139,5,0,0,0.0,674,696,3.2640949554896146,0,0,0.0
150,84,2,0,0,0.0,74096,35026,-52.72889224789462,0,0,0.0
150,139,2,17802,17624,-0.9998876530726885,737200196,729439000,-1.0527935345258643,0,0,0.0
150,161,2,0,0,0.0,7082,9612,35.724371646427564,0,0,0.0
200,69,1,0,0,0.0,0,4832,0.0,0,0,0.0
200,83,0,0,0,0.0,478,528,10.460251046025103,0,0,0.0
200,568,2,0,0,0.0,0,0,0.0,6348,18748,195.33711405166983
200,162,0,0,0,0.0,526,666,26.61596958174905,0,0,0.0
200,52,0,0,0,0.0,232180,240754,3.692824532690154,0,0,0.0
200,140,0,1497,1640,9.55243820975284,39675458,45066384,13.587558333920176,0,0,0.0
200,73,1,0,0,0.0,4940,0,-100.0,0,0,0.0
200,84,1,0,0,0.0,50534,96104,90.17691059484704,0,0,0.0
200,139,1,2003,1978,-1.2481278082875686,112484904,110426220,-1.8301869200155072,0,0,0.0
200,161,1,0,0,0.0,32048,7956,-75.17473789316026,0,0,0.0
200,139,4,0,0,0.0,83310,111208,33.48697635337894,0,0,0.0
200,87,0,0,0,0.0,340,332,-2.3529411764705883,0,0,0.0
200,58,0,0,0,0.0,3374,3350,-0.7113218731475993,0,0,0.0
200,69,0,0,0,0.0,0,16766,0.0,0,0,0.0
200,135,0,0,0,0.0,8886,59454,569.0749493585415,0,0,0.0
200,83,2,0,0,0.0,88,82,-6.8181818181818175,0,0,0.0
200,567,2,0,0,0.0,0,0,0.0,14,14,0.0
200,568,1,0,0,0.0,0,0,0.0,854,875,2.459016393442623
200,140,2,8493955,24834102,192.37383527461589,363852134008,1071876619370,194.59126914078584,0,0,0.0
200,139,3,0,0,0.0,37242,39594,6.315450298050589,0,0,0.0
200,73,0,0,0,0.0,14912,0,-100.0,0,0,0.0
200,84,0,0,0,0.0,57126,70898,24.108111893008438,0,0,0.0
200,161,0,0,0,0.0,30228,41504,37.30316263067355,0,0,0.0
200,69,2,0,0,0.0,0,8742,0.0,0,0,0.0
200,83,1,0,0,0.0,150,68,-54.666666666666664,0,0,0.0
200,568,0,0,0,0.0,0,0,0.0,1,1,0.0
200,140,1,1067960,1195539,11.946046668414548,59918021306,40823887266,-31.86709711672,0,0,0.0
200,567,1,0,0,0.0,0,0,0.0,1,1,0.0
200,163,0,0,0,0.0,13100,67650,416.412213740458,0,0,0.0
200,88,0,0,0,0.0,9970,11106,11.394182547642927,0,0,0.0
200,57,0,0,0,0.0,7562,8456,11.82226924094155,0,0,0.0
200,139,5,0,0,0.0,672,588,-12.5,0,0,0.0
200,73,2,0,0,0.0,8430,0,-100.0,0,0,0.0
200,84,2,0,0,0.0,96454,69670,-27.76867729694984,0,0,0.0
200,139,2,18024,17984,-0.22192632046160676,744976106,742995572,-0.26585201646722345,0,0,0.0
200,161,2,0,0,0.0,31998,5870,-81.65510344396525,0,0,0.0
