Level,CompId,LoopId,BaselineSamples,AsyncSlowSamples,AsyncBuboOn,BuboBaselineCycles,BuboSlowdownCycles,BuboPercentChange,JfrBaselineSamples,JfrSamples,JfrBuboOn
50,69,1,0,0,0.0,2276,2348,3.163444639718805,0,0,0.0
50,83,0,0,0,0.0,430,616,43.25581395348837,0,0,0.0
50,568,2,0,0,0.0,0,0,0.0,6408,9235,44.116729088639204
50,162,0,0,0,0.0,726,810,11.570247933884298,0,0,0.0
50,52,0,0,0,0.0,247462,264678,6.957027745674084,0,0,0.0
50,140,0,1495,1624,8.62876254180602,38727560,40615802,4.87570608631166,0,0,0.0
50,84,1,0,0,0.0,93162,77986,-16.289903608767524,0,0,0.0
50,139,1,2196,2110,-3.9162112932604733,116086958,113590508,-2.150499972615356,0,0,0.0
50,161,1,0,0,0.0,33938,9244,-72.76209558606871,0,0,0.0
50,139,4,0,0,0.0,84456,58350,-30.91077010514351,0,0,0.0
50,87,0,0,0,0.0,390,672,72.3076923076923,0,0,0.0
50,69,0,0,0,0.0,7502,7408,-1.2529992002132764,0,0,0.0
50,58,0,0,0,0.0,3898,4208,7.952796305797845,0,0,0.0
50,135,0,0,0,0.0,32304,8484,-73.7369985141159,0,0,0.0
50,83,2,0,0,0.0,276,80,-71.01449275362319,0,0,0.0
50,567,2,0,0,0.0,0,0,0.0,15,13,-13.333333333333334
50,568,1,0,0,0.0,0,0,0.0,783,1144,46.10472541507024
50,140,2,8406457,12219766,45.361666633160674,358518303962,544730406718,51.93935726521147,0,0,0.0
50,139,3,0,0,0.0,36878,41242,11.833613536525842,0,0,0.0
50,84,0,0,0,0.0,29774,118120,296.7219721905018,0,0,0.0
50,161,0,0,0,0.0,14092,9616,-31.762702242407038,0,0,0.0
50,69,2,0,0,0.0,7932,8220,3.6308623298033282,0,0,0.0
50,83,1,0,0,0.0,614,96,-84.36482084690554,0,0,0.0
50,568,0,0,0,0.0,0,0,0.0,2,0,-100.0
50,140,1,1072814,1486672,38.5768642094529,59690015620,39570007806,-33.70749296178522,0,0,0.0
50,567,1,0,0,0.0,0,0,0.0,0,2,0.0
50,163,0,0,0,0.0,69886,13784,-80.27645021892796,0,0,0.0
50,88,0,0,0,0.0,9438,34030,260.56367874549693,0,0,0.0
50,57,0,0,0,0.0,6442,6138,-4.719031356721515,0,0,0.0
50,139,5,0,0,0.0,716,688,-3.910614525139665,0,0,0.0
50,84,2,0,0,0.0,35242,35106,-0.38590318370126553,0,0,0.0
50,139,2,17610,17755,0.8233957978421351,730205258,735603728,0.7393085630177699,0,0,0.0
50,161,2,0,0,0.0,37822,6134,-83.78192586325419,0,0,0.0
100,83,0,0,0,0.0,358,340,-5.027932960893855,0,0,0.0
100,568,2,0,0,0.0,0,0,0.0,6335,12536,97.88476716653513
100,162,0,0,0,0.0,640,396,-38.125,0,0,0.0
100,52,0,0,0,0.0,241624,254060,5.146839717908817,0,0,0.0
100,140,0,1571,1662,5.792488860598345,41660604,41031774,-1.5094116254291463,0,0,0.0
100,73,1,0,0,0.0,4024,3674,-8.697813121272366,0,0,0.0
100,84,1,0,0,0.0,82640,115416,39.66118102613746,0,0,0.0
100,139,1,2143,2028,-5.36630891273915,114792934,112242430,-2.2218301345969604,0,0,0.0
100,161,1,0,0,0.0,35814,8922,-75.08795443122801,0,0,0.0
100,139,4,0,0,0.0,103390,64014,-38.08492117226037,0,0,0.0
100,87,0,0,0,0.0,368,336,-8.695652173913043,0,0,0.0
100,58,0,0,0,0.0,3194,3448,7.952410770194114,0,0,0.0
100,135,0,0,0,0.0,9922,7924,-20.137069139286435,0,0,0.0
100,83,2,0,0,0.0,90,86,-4.444444444444445,0,0,0.0
100,567,2,0,0,0.0,0,0,0.0,14,12,-14.285714285714285
100,568,1,0,0,0.0,0,0,0.0,857,844,-1.5169194865810969
100,140,2,8450324,16716807,97.824450281433,364480946300,727520769854,99.6046095795598,0,0,0.0
100,139,3,0,0,0.0,17662,37252,110.916091042917,0,0,0.0
100,73,0,0,0,0.0,12024,28786,139.4045242847638,0,0,0.0
100,84,0,0,0,0.0,26776,30106,12.436510307738272,0,0,0.0
100,161,0,0,0,0.0,11982,39020,225.65514939075277,0,0,0.0
100,83,1,0,0,0.0,144,100,-30.555555555555557,0,0,0.0
100,568,0,0,0,0.0,0,0,0.0,1,0,-100.0
100,140,1,1087323,1178987,8.430245658373822,58300372172,40153152048,-31.127108537937588,0,0,0.0
100,567,1,0,0,0.0,0,0,0.0,1,3,200.0
100,163,0,0,0,0.0,17356,17324,-0.18437427978796958,0,0,0.0
100,88,0,0,0,0.0,10234,36954,261.0904827047098,0,0,0.0
100,57,0,0,0,0.0,7286,7050,-3.2390886631896785,0,0,0.0
100,139,5,0,0,0.0,686,580,-15.451895043731778,0,0,0.0
100,73,2,0,0,0.0,62400,7852,-87.41666666666667,0,0,0.0
100,84,2,0,0,0.0,35136,75134,113.83765938069217,0,0,0.0
100,139,2,17695,17883,1.0624470189319017,733661142,743136556,1.2915245823391313,0,0,0.0
100,161,2,0,0,0.0,35284,29750,-15.684162793334089,0,0,0.0
150,69,1,0,0,0.0,2342,2280,-2.6473099914602902,0,0,0.0
