comp_id,method,loop_id,vtune_block_id,graal_block_id,normal_time,slowdown_time,pct_increase_block,loop_total_normal_time,loop_total_slowdown_time,pct_increase_loop_total,block_share_of_loop_normal,block_share_of_loop_slowdown
218,LoopBenchmarks.editDistanceLoop,2,198,78,1.974,3.972,101.21580547112463,7.706,14.015999999999998,81.88424604204513,0.2561640280301064,0.28339041095890416
218,LoopBenchmarks.editDistanceLoop,3,171,31,0.009,0.027,200.00000000000006,0.009999999999999998,0.027,170.00000000000003,0.9,1.0
218,LoopBenchmarks.editDistanceLoop,4,175,33,0.004,0.007,75.0,0.018000000000000002,0.041,127.77777777777777,0.2222222222222222,0.17073170731707316
218,LoopBenchmarks.editDistanceLoop,4,174,34,0.014,0.034,142.8571428571429,0.018000000000000002,0.041,127.77777777777777,0.7777777777777777,0.8292682926829269
218,LoopBenchmarks.editDistanceLoop,5,157,13,0.014,0.027,92.85714285714285,0.05,0.068,36.00000000000001,0.27999999999999997,0.39705882352941174
218,LoopBenchmarks.editDistanceLoop,6,163,22,0.013,0.018,38.46153846153846,0.054000000000000006,0.05700000000000001,5.55555555555556,0.2407407407407407,0.31578947368421045
221,LoopBenchmarks.monteCarloPiLoop,0,28,3,0.536,0.89,66.04477611940298,4.762,9.427999999999999,97.98404031919361,0.11255774884502312,0.09439966058549004
221,LoopBenchmarks.monteCarloPiLoop,0,29,4,3.775,7.739,105.0066225165563,4.762,9.427999999999999,97.98404031919361,0.7927341453170937,0.8208527789563005
221,LoopBenchmarks.monteCarloPiLoop,0,30,6,0.451,0.799,77.1618625277162,4.762,9.427999999999999,97.98404031919361,0.09470810583788325,0.0847475604582096
223,LoopBenchmarks.bubbleSortLoop,0,81,1,0.0,0.001,0.0,0.053,0.069,30.188679245283033,0.0,0.014492753623188404
223,LoopBenchmarks.bubbleSortLoop,0,72,5,0.001,0.0,-100.0,0.053,0.069,30.188679245283033,0.018867924528301886,0.0
223,LoopBenchmarks.bubbleSortLoop,0,76,14,0.022,0.023,4.545454545454549,0.053,0.069,30.188679245283033,0.4150943396226415,0.3333333333333333
223,LoopBenchmarks.bubbleSortLoop,0,80,18,0.03,0.045,50.0,0.053,0.069,30.188679245283033,0.5660377358490566,0.6521739130434782
223,LoopBenchmarks.bubbleSortLoop,1,79,15,0.001,0.001,0.0,5.33,11.405999999999999,113.99624765478423,0.0001876172607879925,8.76731544800982e-05
223,LoopBenchmarks.bubbleSortLoop,1,77,16,3.003,6.816,126.97302697302698,5.33,11.405999999999999,113.99624765478423,0.5634146341463415,0.5975802209363493
223,LoopBenchmarks.bubbleSortLoop,1,78,17,2.305,4.57,98.2646420824295,5.33,11.405999999999999,113.99624765478423,0.43245778611632274,0.40066631597404884
227,LoopBenchmarks.blurLoop,0,221,43,0.001,0.001,0.0,0.112,0.083,-25.89285714285714,0.008928571428571428,0.012048192771084336
227,LoopBenchmarks.blurLoop,0,231,62,0.002,0.0,-100.0,0.112,0.083,-25.89285714285714,0.017857142857142856,0.0
227,LoopBenchmarks.blurLoop,0,232,64,0.001,0.001,0.0,0.112,0.083,-25.89285714285714,0.008928571428571428,0.012048192771084336
227,LoopBenchmarks.blurLoop,0,234,68,0.019,0.016,-15.789473684210522,0.112,0.083,-25.89285714285714,0.16964285714285712,0.19277108433734938
227,LoopBenchmarks.blurLoop,0,237,71,0.04,0.023,-42.50000000000001,0.112,0.083,-25.89285714285714,0.35714285714285715,0.27710843373493976
227,LoopBenchmarks.blurLoop,0,240,74,0.029,0.03,3.4482758620689564,0.112,0.083,-25.89285714285714,0.25892857142857145,0.36144578313253006
227,LoopBenchmarks.blurLoop,0,243,77,0.02,0.012,-40.0,0.112,0.083,-25.89285714285714,0.17857142857142858,0.14457831325301204
227,LoopBenchmarks.blurLoop,1,235,70,0.008,0.007,-12.5,0.026000000000000002,0.019,-26.923076923076934,0.30769230769230765,0.368421052631579
227,LoopBenchmarks.blurLoop,2,239,72,0.082,0.212,158.53658536585365,1.485,3.0370000000000004,104.51178451178453,0.055218855218855216,0.06980572933816265
