comp_id,method,loop_id,num_blocks_matched,median_slowdown_ratio
191,LoopBenchmarks.parseJsonLoop,0,11,1.6755102040816325
195,LoopBenchmarks.matrixMultiplyLoop,1,2,1.0705227042269172
195,LoopBenchmarks.matrixMultiplyLoop,2,3,77.28571428571429
197,LoopBenchmarks.sieveLoop,3,4,1.8665604387460166
200,LoopBenchmarks.sieveLoop,1,1,2.1107142857142853
201,LoopBenchmarks.sieveLoop,0,3,1.6846910112359552
204,LoopBenchmarks.histogramLoop,1,5,1.5212355212355213
208,LoopBenchmarks.crc32Loop,0,17,2.0077220077220077
214,LoopBenchmarks.editDistanceLoop,1,6,1.348193502681915
214,LoopBenchmarks.editDistanceLoop,2,5,2.438709677419355
214,LoopBenchmarks.editDistanceLoop,4,1,2.0
217,LoopBenchmarks.monteCarloPiLoop,0,2,2.0329236297038267
219,LoopBenchmarks.bubbleSortLoop,0,1,0.8823529411764705
219,LoopBenchmarks.bubbleSortLoop,1,2,1.9447153214110284
223,LoopBenchmarks.blurLoop,0,5,0.7083333333333334
223,LoopBenchmarks.blurLoop,1,1,0.16666666666666666
223,LoopBenchmarks.blurLoop,2,2,1.6237703555998673
223,LoopBenchmarks.blurLoop,3,1,7.0
229,LoopBenchmarks.base64EncodeLoop,1,2,2.083159425788908
232,LoopBenchmarks.raySphereLoop,0,5,1.875968992248062
