Method,TotalBlocks,KeptBlocks_95pctNormal,TotalNormalTime,KeptNormalTime,KeptNormalFraction,MedianPct_AllBlocks,MedianPct_95pctNormalBlocks
LoopBenchmarks::crc32Loop,28,15,9.469999999999999,8.706,0.919324181626188,79.25573471646521,100.0
LoopBenchmarks::main,48,5,8.964,8.2,0.9147701918786255,0.0,0.7915567282321848
LoopBenchmarks::editDistanceLoop,45,4,6.137000000000001,5.659,0.9221117810004886,0.0,109.81722275615522
LoopBenchmarks::bubbleSortLoop,13,2,5.301,5.259,0.9920769666100736,0.0,106.55448294004373
LoopBenchmarks::monteCarloPiLoop,6,2,4.775,4.308,0.9021989528795811,54.452324665090615,105.61850522966523
LoopBenchmarks::parseJsonLoop,14,7,4.151,3.8449999999999998,0.9262828234160443,101.55027720817193,99.85380116959062
LoopBenchmarks::sieveLoop,26,6,3.321999999999999,3.09,0.9301625526791092,0.0,103.15351894818252
LoopBenchmarks::matrixMultiplyLoop,12,2,2.9969999999999994,2.95,0.9843176509843179,0.0,118.52859314904748
LoopBenchmarks::base64EncodeLoop,3,1,2.3379999999999996,2.316,0.9905902480752781,99.6113989637306,99.6113989637306
LoopBenchmarks::histogramLoop,11,3,2.416,2.238,0.9263245033112583,40.0,95.95375722543355
LoopBenchmarks::raySphereLoop,10,4,2.363,2.1510000000000002,0.910283537875582,54.248366013071895,97.88269962171034
LoopBenchmarks::blurLoop,24,1,1.5039999999999991,1.42,0.9441489361702132,0.0,98.0985915492958
