benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_noBubo_pct
Permute,52,0,0,245716,241634,-1.6612674795292124,3.174964700541056e-05,761060429928,91.35762657207353
Permute,57,0,0,6862,6712,-2.1859516176041973,8.8192733928303e-07,761060429928,91.35762657207353
Permute,58,0,0,3358,3684,9.708159618820726,4.840614299640468e-07,761060429928,91.35762657207353
Permute,84,0,0,660,384,-41.81818181818181,5.0455914523939745e-08,761060429928,91.35762657207353
Permute,84,1,0,28,146,421.42857142857144,1.9183759167956258e-08,761060429928,91.35762657207353
Permute,84,2,0,82,98,19.51219512195122,1.287676985246379e-08,761060429928,91.35762657207353
Permute,85,0,0,85742,82576,-3.692472767138625,1.0850123952418875e-05,761060429928,91.35762657207353
Permute,85,1,0,123166,110720,-10.105061461767047,1.4548122021069291e-05,761060429928,91.35762657207353
Permute,85,2,0,97178,95994,-1.2183827615303875,1.2613190257320497e-05,761060429928,91.35762657207353
Permute,87,0,0,454,410,-9.691629955947137,5.387220040316483e-08,761060429928,91.35762657207353
Permute,88,0,0,10434,10342,-0.8817327966264136,1.358893406267148e-06,761060429928,91.35762657207353
Permute,138,0,0,17022,16384,-3.7480907061449886,2.1527856863547623e-06,761060429928,91.35762657207353
Permute,140,1,1,259944,225700,-13.173606622964945,2.9655989343888538e-05,761060429928,91.35762657207353
Permute,140,2,0,12212,12102,-0.9007533573534229,1.5901496811685385e-06,761060429928,91.35762657207353
Permute,140,5,0,758,624,-17.678100263852244,8.199086110140208e-08,761060429928,91.35762657207353
Permute,141,1,1,3328,3372,1.3221153846153846,4.430659994133459e-07,761060429928,91.35762657207353
Permute,141,2,0,1746,1760,0.8018327605956471,2.312562749013905e-07,761060429928,91.35762657207353
Permute,142,0,2,10452,10756,2.908534251817834,1.4132911891132705e-06,761060429928,91.35762657207353
Permute,142,1,1,12462,12030,-3.466538276360135,1.5806891971952998e-06,761060429928,91.35762657207353
Permute,142,2,0,15184,15084,-0.6585879873551107,1.981971392393508e-06,761060429928,91.35762657207353
Permute,142,5,0,664,716,7.83132530120482,9.40792572894293e-08,761060429928,91.35762657207353
Permute,143,1,1,354084,334322,-5.581161532291773,4.392844337362652e-05,761060429928,91.35762657207353
Permute,143,2,0,48082,47902,-0.37436046753462837,6.294112545640003e-06,761060429928,91.35762657207353
Permute,169,0,1,1873335470664,2231085580564,19.096959167339964,293.15485247013453,761060429928,91.35762657207353
Permute,184,0,2,186276722,224952860,20.762732769154056,0.029557818427280686,761060429928,91.35762657207353
Permute,185,0,2,622196391698,750677480846,20.64960370428535,98.63572606409424,761060429928,91.35762657207353
Permute,193,0,0,35572,25380,-28.65174856628809,3.3348206005666426e-06,761060429928,91.35762657207353
Permute,193,1,0,12364,11030,-10.789388547395665,1.4492935864558734e-06,761060429928,91.35762657207353
Permute,193,2,0,12116,8150,-32.7335754374381,1.0708742275263253e-06,761060429928,91.35762657207353
Permute,194,0,0,664,734,10.542168674698797,9.644437828273898e-08,761060429928,91.35762657207353
Permute,195,0,0,3978,3834,-3.619909502262444,5.037707715749609e-07,761060429928,91.35762657207353
