benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
Json,52,0,0,259682,245332,-5.525989479440238,0.0001052534544339095,233086886620,105.82977527722552
Json,57,0,0,5982,7156,19.625543296556337,3.070099782861821e-06,233086886620,105.82977527722552
Json,58,0,0,6354450,6203736,-2.3717867006585935,0.0026615551350659674,233086886620,105.82977527722552
Json,84,0,0,596,562,-5.704697986577181,2.411118051940111e-07,233086886620,105.82977527722552
Json,84,1,0,26,144,453.8461538461538,6.177953727391033e-08,233086886620,105.82977527722552
Json,84,2,0,86,90,4.651162790697675,3.861221079619395e-08,233086886620,105.82977527722552
Json,85,0,0,77360,78220,1.1116856256463288,3.355830142753657e-05,233086886620,105.82977527722552
Json,85,1,0,104794,107104,2.2043246750768173,4.595024694572841e-05,233086886620,105.82977527722552
Json,85,2,0,93444,95760,2.478489790676769,4.108339228715036e-05,233086886620,105.82977527722552
Json,87,0,0,418,362,-13.397129186602871,1.5530689231358013e-07,233086886620,105.82977527722552
Json,88,0,0,11234,12808,14.011037920598184,5.494946620862802e-06,233086886620,105.82977527722552
Json,139,1,1,240016,240764,0.3116458902739817,0.00010329367022372046,233086886620,105.82977527722552
Json,139,2,0,11942,12336,3.2992798526210017,5.292447026464985e-06,233086886620,105.82977527722552
Json,139,5,0,646,692,7.120743034055728,2.968849985662913e-07,233086886620,105.82977527722552
Json,140,1,1,3548,3306,-6.820744081172492,1.4183552099135245e-06,233086886620,105.82977527722552
Json,140,2,0,1810,1738,-3.9779005524861875,7.456446929309456e-07,233086886620,105.82977527722552
Json,141,0,2,10700,10732,0.29906542056074764,4.604291625163928e-06,233086886620,105.82977527722552
Json,141,1,1,12030,12040,0.0831255195344971,5.165455755401946e-06,233086886620,105.82977527722552
Json,141,2,0,14962,15846,5.908301029274162,6.7983232475165486e-06,233086886620,105.82977527722552
Json,141,5,0,662,748,12.990936555891238,3.20910374172812e-07,233086886620,105.82977527722552
Json,142,1,1,350136,338930,-3.2004706742522906,0.0001454092956128224,233086886620,105.82977527722552
Json,142,2,0,47704,47684,-0.04192520543350663,2.045760732895236e-05,233086886620,105.82977527722552
Json,184,0,0,147862,147254,-0.4111942216390959,6.317558320647494e-05,233086886620,105.82977527722552
Json,184,1,0,153022,148194,-3.1551018807753137,6.357886629701297e-05,233086886620,105.82977527722552
Json,185,0,2,23439623260,46240085784,97.2731612240085,19.838132661398884,233086886620,105.82977527722552
Json,185,1,0,3376144820,6003793210,77.82984824685335,2.5757747666808664,233086886620,105.82977527722552
Json,185,3,0,2512408766,2538460146,1.0369084980337948,1.089061758389881,233086886620,105.82977527722552
Json,194,0,6,319399067470,572472599936,79.23427406054348,245.6048078197116,233086886620,105.82977527722552
Json,194,1,0,38425820,41778064,8.723936145019156,0.017923815709165358,233086886620,105.82977527722552
Json,194,2,0,1607662944,2482800060,54.43536030149364,1.0651822142391445,233086886620,105.82977527722552
Json,194,3,0,3758134,3772744,0.3887567606689916,0.001618599851200844,233086886620,105.82977527722552
Json,196,0,0,955376058,964911442,0.998076508214109,0.41397071109070527,233086886620,105.82977527722552
Json,196,1,0,969133886,926076786,-4.442843308029784,0.39730968971659775,233086886620,105.82977527722552
Json,197,0,3,5640710222,11774887994,108.74832300506006,5.051716192510016,233086886620,105.82977527722552
Json,205,0,0,191876,182502,-4.88544685109133,7.82978410525221e-05,233086886620,105.82977527722552
Json,207,0,10,219908806648,393092146786,78.75234410925991,168.64618704477164,233086886620,105.82977527722552
Json,207,1,0,359750718,520357800,44.64399206563919,0.2232462784782637,233086886620,105.82977527722552
Json,207,2,0,52127140,78909334,51.37859855729664,0.03385404264661416,233086886620,105.82977527722552
Json,207,3,0,36233438,48988560,35.202626921574485,0.021017295614688836,233086886620,105.82977527722552
Json,207,4,0,451874354,635866452,40.717534945565866,0.2728023275872438,233086886620,105.82977527722552
Json,207,5,0,295817896,817962886,176.50892561280335,0.3509261708632796,233086886620,105.82977527722552
Json,230,0,0,17318842,17864952,3.1532708711125146,0.007664503249865408,233086886620,105.82977527722552
Json,243,0,2,46352426,82551632,78.0956017275126,0.035416677959487004,233086886620,105.82977527722552
Json,244,0,2,75595633756,134520357968,77.94725870305065,57.712537980443166,233086886620,105.82977527722552
Json,245,0,0,27898,30582,9.620761344899275,1.3120429228546706e-05,233086886620,105.82977527722552
Json,245,1,0,12088,12056,-0.26472534745201853,5.172320148432381e-06,233086886620,105.82977527722552
Json,245,2,0,8842,8958,1.3119203800045238,3.8432020479145044e-06,233086886620,105.82977527722552
