benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarks,52,0,0,238608,246264,3.208609937638302,6.947218121379709e-05,354478577896,82.52044538316134
LoopBenchmarks,57,0,0,6396,6330,-1.0318949343339587,1.78572144967732e-06,354478577896,82.52044538316134
LoopBenchmarks,58,0,0,4240,3198,-24.57547169811321,9.021701731545133e-07,354478577896,82.52044538316134
LoopBenchmarks,84,0,0,768,782,1.8229166666666667,2.2060571463628192e-07,354478577896,82.52044538316134
LoopBenchmarks,84,1,0,96,38,-60.416666666666664,1.0719970787952318e-08,354478577896,82.52044538316134
LoopBenchmarks,84,2,0,126,516,309.5238095238095,1.4556591912061568e-07,354478577896,82.52044538316134
LoopBenchmarks,85,0,0,137960,139008,0.7596404755001449,3.921478156030726e-05,354478577896,82.52044538316134
LoopBenchmarks,85,1,0,133590,143960,7.76255707762557,4.0611763016674096e-05,354478577896,82.52044538316134
LoopBenchmarks,85,2,0,142834,150162,5.130431129843035,4.236137509106568e-05,354478577896,82.52044538316134
LoopBenchmarks,87,0,0,392,610,55.61224489795919,1.7208374159607668e-07,354478577896,82.52044538316134
LoopBenchmarks,88,0,0,9604,10958,14.098292378175762,3.091301049852144e-06,354478577896,82.52044538316134
LoopBenchmarks,138,0,0,35900,34902,-2.779944289693593,9.846011064239784e-06,354478577896,82.52044538316134
LoopBenchmarks,140,1,1,256072,297368,16.126714361585805,8.388884929662644e-05,354478577896,82.52044538316134
LoopBenchmarks,140,2,0,11804,12226,3.575059301931548,3.449009548776448e-06,354478577896,82.52044538316134
LoopBenchmarks,140,5,0,642,758,18.06853582554517,2.1383520677020676e-07,354478577896,82.52044538316134
LoopBenchmarks,141,0,2,60208,57840,-3.9330321551953227,1.6316923957241108e-05,354478577896,82.52044538316134
LoopBenchmarks,141,1,1,332396,323098,-2.797265911743824,9.114739793804783e-05,354478577896,82.52044538316134
LoopBenchmarks,141,2,0,118314,102992,-12.95028483526886,2.9054506089283816e-05,354478577896,82.52044538316134
LoopBenchmarks,167,0,0,484,382,-21.074380165289256,1.0776391686836277e-07,354478577896,82.52044538316134
LoopBenchmarks,167,1,0,9614,9640,0.2704389432078219,2.719487326206851e-06,354478577896,82.52044538316134
LoopBenchmarks,167,2,0,112,146,30.357142857142854,4.118725618529048e-08,354478577896,82.52044538316134
LoopBenchmarks,168,0,0,911030,921570,1.156932263481993,0.00025997903892245307,354478577896,82.52044538316134
LoopBenchmarks,168,1,0,206617712,207057468,0.21283557723260435,0.05841184232598346,354478577896,82.52044538316134
LoopBenchmarks,168,2,0,582280,580886,-0.23940372329463488,0.00016387055134553868,354478577896,82.52044538316134
LoopBenchmarks,169,1,0,822,802,-2.4330900243309004,2.2624780452467786e-07,354478577896,82.52044538316134
LoopBenchmarks,169,2,0,35866550,35833690,-0.0916173983837308,0.010108845000645765,354478577896,82.52044538316134
LoopBenchmarks,169,3,0,10090,10074,-0.15857284440039643,2.841920676785043e-06,354478577896,82.52044538316134
LoopBenchmarks,169,4,0,102,98,-3.9215686274509802,2.764624045314019e-08,354478577896,82.52044538316134
LoopBenchmarks,169,5,0,14311456962,14312265740,0.005651262496526243,4.037554490584493,354478577896,82.52044538316134
LoopBenchmarks,169,6,0,45688046,45697304,0.020263506125869336,0.012891414841267806,354478577896,82.52044538316134
