benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
Richards,52,0,0,243370,240554,-1.157085918560217,8.84657496988617e-05,271917663976,90.738869975122
Richards,57,0,0,7398,5882,-20.492024871586914,2.1631547998732282e-06,271917663976,90.738869975122
Richards,58,0,0,3512,3076,-12.414578587699317,1.1312247814365947e-06,271917663976,90.738869975122
Richards,84,0,0,318,402,26.41509433962264,1.4783886935549775e-07,271917663976,90.738869975122
Richards,84,1,0,22,146,563.6363636363636,5.36927236962753e-08,271917663976,90.738869975122
Richards,84,2,0,84,90,7.142857142857142,3.309825433332039e-08,271917663976,90.738869975122
Richards,85,0,0,85712,84934,-0.9076908717565801,3.1235190372735935e-05,271917663976,90.738869975122
Richards,85,1,0,120926,118100,-2.3369664092089377,4.3432264852945985e-05,271917663976,90.738869975122
Richards,85,2,0,102118,101426,-0.6776474274858497,3.7300261600126156e-05,271917663976,90.738869975122
Richards,87,0,0,392,320,-18.367346938775512,1.1768268207402805e-07,271917663976,90.738869975122
Richards,88,0,0,13420,13522,0.760059612518629,4.972828834390648e-06,271917663976,90.738869975122
Richards,138,0,0,22204,24130,8.674112772473428,8.874009745144678e-06,271917663976,90.738869975122
Richards,140,1,1,248760,246234,-1.0154365653642063,9.05546173056757e-05,271917663976,90.738869975122
Richards,140,2,0,12328,12190,-1.1194029850746268,4.482974670257506e-06,271917663976,90.738869975122
Richards,140,5,0,574,690,20.209059233449477,2.53753283222123e-07,271917663976,90.738869975122
Richards,141,1,1,3388,3566,5.25383707201889,1.3114263883624501e-06,271917663976,90.738869975122
Richards,141,2,0,1810,1754,-3.0939226519337018,6.450482011182662e-07,271917663976,90.738869975122
Richards,142,0,2,10416,10446,0.28801843317972353,3.8416040529540535e-06,271917663976,90.738869975122
Richards,142,1,1,12232,12538,2.50163505559189,4.610954587013011e-06,271917663976,90.738869975122
Richards,142,2,0,15170,15136,-0.22412656558998023,5.566390862101527e-06,271917663976,90.738869975122
Richards,142,5,0,406,716,76.35467980295566,2.633150011406378e-07,271917663976,90.738869975122
Richards,143,1,1,348616,368916,5.823025908162563,0.00013567195106256916,271917663976,90.738869975122
Richards,143,2,0,48242,47876,-0.7586750134737366,1.7606800271800522e-05,271917663976,90.738869975122
Richards,202,0,1,158663631404,270550576666,70.51833131003156,99.49724218353072,271917663976,90.738869975122
Richards,205,0,0,1310910276,2136745616,62.99709103813601,0.785806109377504,271917663976,90.738869975122
Richards,205,1,0,1197070556,1076932278,-10.036023139808979,0.39605087152228996,271917663976,90.738869975122
Richards,205,3,0,12722121760,11235512412,-11.68523125343834,4.131953859750601,271917663976,90.738869975122
Richards,234,0,0,402192,343596,-14.569160997732428,0.0001263603088434617,271917663976,90.738869975122
Richards,234,1,0,135772,129212,-4.831629496508853,4.75187959879666e-05,271917663976,90.738869975122
Richards,234,2,0,162486,281888,73.48448481715347,0.00010366667463901132,271917663976,90.738869975122
Richards,265,0,3,60010442,102819360,71.33578186276314,0.03781268141854699,271917663976,90.738869975122
Richards,266,0,3,93578224862,159550216194,70.4992977044489,58.675929272502955,271917663976,90.738869975122
Richards,267,0,0,19392,9498,-51.021039603960396,3.4929691073097452e-06,271917663976,90.738869975122
Richards,267,1,0,11434,7858,-31.275144306454433,2.8898453616803512e-06,271917663976,90.738869975122
Richards,267,2,0,9408,6352,-32.482993197278915,2.336001239169457e-06,271917663976,90.738869975122
Richards,268,0,0,776,600,-22.68041237113402,2.2065502888880259e-07,271917663976,90.738869975122
Richards,269,0,0,4470,8142,82.14765100671141,2.9942887420210516e-06,271917663976,90.738869975122
