Level,CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline_BuboOn,AsyncSamplesSlowdown_BuboOn,BuboPercentChange,AsyncPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent,AsyncSamplesBaseline_BuboOff,AsyncSamplesSlowdown_BuboOff,AsyncPercentChange_NoBubo
200,140,2,Mandelbrot.mandelbrot(int)-Re-Comp,405872130940,1180834333464,9344573,4788826,190.93752525683084,-48.75286436309075,96.17804332761541,78.77235672458923,285524,741487,159.6934058082683,8881440,4777261,-46.21073834873624
200,140,1,Mandelbrot.mandelbrot(int)-Re-Comp,65817852806,45932372040,1339799,1268153,-30.212898048517356,-5.347518545692301,3.7411561833944194,20.86010235021235,285524,741487,159.6934058082683,164312,572276,248.28618725351768
