CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboSharePercentBaseline,BuboExclusiveCyclesSlowdown,BuboSharePercentSlowdown,AsyncSamplesBaseline,AsyncSharePercentBaseline,AsyncSamplesSlowdown,AsyncSharePercentSlowdown,BaselineAvgUs,SlowdownAvgUs,OverheadPercent
162,0,Benchmark.innerBenchmarkLoop(int)-Re-Comp,406383043252,50.086091418140064,835765369024,49.98607173960803,2954,0.03595385054298347,7266,0.041903471840474764,247360,508266,105.47622897800777
145,1,Bounce.benchmark()-Re-Comp,344786077038,42.4943591052311,763275379972,45.650536998095404,7118854,86.645298833216,16018943,92.38223601908481,247360,508266,105.47622897800777
145,2,Bounce.benchmark()-Re-Comp,30987187314,3.8191236626908545,40482481072,2.42120609211819,626030,7.619562984232886,831994,4.798160907025043,247360,508266,105.47622897800777
145,0,Bounce.benchmark()-Re-Comp,28103392682,3.463700364480237,29955191498,1.7915821912330594,450567,5.483960249695476,435435,2.5111806029255614,247360,508266,105.47622897800777
