Method: Benchmark::innerBenchmarkLoop, Block ID: 39, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 104, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.011, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 42, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 107, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 45, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 113, RDTSC Normal Time: 24.134, RDTSC Slowdown Time: 23.406000000000002, RDTSC Percentage Increase: -3.016491257147584%
Method: Benchmark::innerBenchmarkLoop, Block ID: 51, RDTSC Normal Time: 0.044000000000000004, RDTSC Slowdown Time: 0.037, RDTSC Percentage Increase: -15.909090909090922%
Method: Benchmark::innerBenchmarkLoop, Block ID: 117, RDTSC Normal Time: 0.899, RDTSC Slowdown Time: 0.8089999999999999, RDTSC Percentage Increase: -10.011123470522811%
Method: Benchmark::innerBenchmarkLoop, Block ID: 55, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.003, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 119, RDTSC Normal Time: 0.008, RDTSC Slowdown Time: 0.009, RDTSC Percentage Increase: 12.49999999999999%
Method: Benchmark::innerBenchmarkLoop, Block ID: 57, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 125, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 63, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%


ExtraBuboData:
Method: Benchmark::innerBenchmarkLoop, Block ID: 11, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 14, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 17, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 20, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 26, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 30, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 95, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 32, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 33, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 98, RDTSC Normal Time: 0.077, RDTSC Slowdown Time: 0.066, RDTSC Percentage Increase: -14.28571428571428%
Method: Benchmark::innerBenchmarkLoop, Block ID: 36, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 101, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 39, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 104, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.011, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 42, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 107, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 45, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 113, RDTSC Normal Time: 24.134, RDTSC Slowdown Time: 23.406000000000002, RDTSC Percentage Increase: -3.016491257147584%
Method: Benchmark::innerBenchmarkLoop, Block ID: 51, RDTSC Normal Time: 0.044000000000000004, RDTSC Slowdown Time: 0.037, RDTSC Percentage Increase: -15.909090909090922%
Method: Benchmark::innerBenchmarkLoop, Block ID: 117, RDTSC Normal Time: 0.899, RDTSC Slowdown Time: 0.8089999999999999, RDTSC Percentage Increase: -10.011123470522811%
Method: Benchmark::innerBenchmarkLoop, Block ID: 55, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.003, RDTSC Percentage Increase: 0.0%
Method: Benchmark::innerBenchmarkLoop, Block ID: 119, RDTSC Normal Time: 0.008, RDTSC Slowdown Time: 0.009, RDTSC Percentage Increase: 12.49999999999999%
Method: Benchmark::innerBenchmarkLoop, Block ID: 57, RDTSC Normal Time: 0.0, RDTSC Slowdown Time: 0.0, RDTSC Percentage Increase: 0.0%
