benchmark,comp_id,loop_id,baseline_samples,slowdown_samples,slowdown_pct,runtime_share_pct,total_samples_slowdown,prog_slowdown_noBubo_pct
Mandelbrot,685,2,5946,12574,111.46989572822066,97.0290917509067,12959,104.14433086081156
Mandelbrot,685,1,125,372,197.6,2.870591866656378,12959,104.14433086081156
