benchmark,comp_id,loop_id,baseline_samples,slowdown_samples,slowdown_pct,runtime_share_pct,total_samples_slowdown,prog_slowdown_noBubo_pct
Bounce,885,1,4961,9935,100.2620439427535,94.89922628713344,10469,92.63962760073277
Bounce,885,2,332,459,38.25301204819277,4.384372910497659,10469,92.63962760073277
