CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline,AsyncSamplesSlowdown,JfrSamplesBaseline,JfrSamplesSlowdown,BuboPercentChange,AsyncPercentChange,JfrPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,JfrSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent
599,0,"cd.CollisionDetector.putIntoMap(RedBlackTree,",6114909042,11890613868,19847,56794,88,251,94.45283300748729,186.15911724693908,185.22727272727272,48.7218530907832,25.75773380560834,53.63247863247863,292827,486151,66.01986838645344
608,4,cd.CollisionDetector.reduceCollisionSet(Vector)-Re-Comp,3163036148,4801402880,41853,73938,51,106,51.79728132528443,76.66117124220486,107.84313725490196,19.67377364583204,33.533037329983266,22.64957264957265,292827,486151,66.01986838645344
602,3,cd.RedBlackTree.forEach(ForEachInterface)-Re-Comp,2940959664,5143373372,23162,63052,22,74,74.88758635351348,172.22174250928245,236.36363636363637,21.074999541952177,28.59591914482546,15.81196581196581,292827,486151,66.01986838645344
602,2,cd.RedBlackTree.forEach(ForEachInterface)-Re-Comp,1823769932,2569703516,16374,26709,24,37,40.90064053101189,63.11835837303042,54.166666666666664,10.529373721432584,12.113309719582935,7.905982905982905,292827,486151,66.01986838645344
