CompId,LoopId,Method,BuboExclusiveCyclesBaseline,BuboExclusiveCyclesSlowdown,AsyncSamplesBaseline,AsyncSamplesSlowdown,JfrSamplesBaseline,JfrSamplesSlowdown,BuboPercentChange,AsyncPercentChange,JfrPercentChange,BuboSlowdownSharePercent,AsyncSlowdownSharePercent,JfrSlowdownSharePercent,BaselineAvgUs,SlowdownAvgUs,OverheadPercent
572,1,Bounce.benchmark()-Re-Comp,286666700566,620137886906,6177145,13889956,6495,14594,116.3271442694908,124.86044928522804,124.69591993841416,95.55055588748283,93.9765572062961,94.17914300464636,204047,410194,101.02917465093826
572,0,Bounce.benchmark()-Re-Comp,25298336766,26877517254,793836,843411,835,855,6.242230477864293,6.244992668510877,2.3952095808383236,4.141275301382112,5.706343640679597,5.517552916881776,204047,410194,101.02917465093826
