comp_id,loop_id,samples,percentage,total_samples
139,1,1008,0.011045,9125990
139,2,17437,0.191070,9125990
140,0,11012,0.120666,9125990
140,1,557344,6.107217,9125990
140,2,8490325,93.034564,9125990
